Trial	x	y	RT
1	-200	152	5172
2	8	-101	2221
3	-197	104	4194
4	152	-2	5023
5	-152	51	3930
6	-3	3	3730
7	-47	-103	2636
8	-101	148	2222
9	-100	100	2105
10	155	-42	3498
11	-110	2	5322
12	-186	195	2073
13	-146	150	3764
14	3	-206	1890
15	-106	102	3481
16	-50	1	2023
17	97	-1	3034
18	3	-99	2851
19	4	-101	3067
20	-187	153	4510
21	1	-52	2901
22	-191	104	2619
23	-205	210	1774
24	-3	-206	1542
25	49	-159	1724
26	-107	54	2504
27	161	-105	2570
28	-50	-102	2155
29	-199	100	2337
30	144	-48	3499
31	0	-106	2006
32	-48	-147	1692
33	-199	151	2354
34	147	-150	3150
35	103	-151	3730
36	-57	1	1277
37	-154	146	2819
38	154	-154	1874
39	-100	57	2288
40	-150	146	2520
41	5	-152	2023
42	-97	100	2868
43	-206	107	2569
44	5	-207	1674
45	-153	100	3101
46	152	-52	2023
47	-157	97	2056
48	-145	153	2205
49	-153	146	2304
50	7	-148	2172
51	62	-97	2968
52	-186	148	3001
53	104	-5	2338
54	91	53	3067
55	12	-150	2520
56	-160	52	2901
57	5	-48	3431
58	-59	-155	1923
59	-162	101	2189
60	54	-5	1591
