Trial	x	y	RT
1	-68	54	4028
2	199	-95	3233
3	-100	-100	3681
4	200	-159	3465
5	-48	-107	3233
6	0	0	911
7	107	-5	1790
8	-148	96	2354
9	-47	52	4029
10	115	-8	4029
11	-205	-8	2172
12	-78	-20	4028
13	-195	109	2288
14	98	0	1808
15	-57	95	1392
16	0	0	548
17	105	5	1674
18	160	-3	1309
19	100	4	1094
20	-147	-7	2471
21	53	4	1625
22	-152	3	2222
23	-170	153	1326
24	0	0	497
25	-52	1	1658
26	-55	-3	1526
27	-43	0	1077
28	113	-2	1923
29	-99	153	2106
30	-59	190	1973
31	0	0	746
32	-46	-3	1392
33	-140	154	1591
34	162	-1	862
35	158	-167	1127
36	87	-140	1110
37	-106	-69	2288
38	156	108	1044
39	-103	59	2487
40	-95	-70	2305
41	64	-61	2503
42	143	81	2503
43	-117	-47	2636
44	-86	-152	1326
45	-58	-52	2802
46	172	-60	2554
47	-109	103	3631
48	-74	-151	2156
49	-99	130	1741
50	-64	-2	1343
51	209	-9	1459
52	-184	-4	2222
53	140	2	978
54	-75	-170	1045
55	-55	-173	1476
56	-179	47	928
57	107	3	746
58	0	0	481
59	-125	-1	879
60	144	1	1028
61	-10	-178	1459
62	-206	-27	1857
63	-11	-209	1061
64	-145	99	912
65	114	0	1426
66	-2	132	1940
67	-5	-105	1293
68	-53	-53	2785
69	197	128	945
70	-156	119	1725
71	-205	42	2454
72	158	68	1011
73	-196	14	2686
74	192	156	1011
75	-177	151	2239
76	-135	1	912
77	100	1	1807
78	-172	183	1094
79	156	13	1443
80	-111	1	1226
