Trial	x	y	RT
1	-48	4	2072
2	0	0	961
3	-93	52	2105
4	93	51	2370
5	-47	56	1575
6	44	-47	2122
7	0	0	1127
8	-45	48	1724
9	40	44	1956
10	0	0	912
11	-1	-2	845
12	-54	96	1757
13	4	54	1890
14	43	-51	1061
15	-90	89	2454
16	-97	105	1061
17	96	43	1824
18	0	0	879
19	0	0	414
20	0	0	895
21	-1	-56	962
22	-96	101	1559
23	-49	-3	1940
24	0	0	315
25	7	-45	895
26	-56	39	1741
27	103	47	1310
28	0	0	912
29	0	0	614
30	-48	39	829
31	0	0	514
32	0	0	795
33	-15	48	2072
34	103	-46	1508
35	0	0	912
36	-5	48	1940
37	0	0	928
38	0	0	1011
39	0	0	929
40	-52	3	1840
41	0	0	1028
42	51	-1	1011
43	-52	43	1260
44	0	0	348
45	53	46	1774
46	0	0	514
47	-50	0	1392
48	2	50	1857
49	0	0	779
50	53	-53	928
51	108	5	1012
52	-52	3	1542
53	53	-50	1194
54	0	0	448
55	6	-100	1476
56	-103	101	1044
57	5	-106	1160
58	49	1	1692
59	0	0	646
60	7	-43	1077
61	0	0	630
62	-49	55	978
63	0	0	364
64	0	0	845
65	57	-55	1724
66	-52	47	1226
67	50	-50	1575
68	52	-105	994
69	-1	0	680
70	-53	54	1724
71	-102	97	995
72	-1	0	481
73	-113	98	1293
74	50	-50	945
75	-47	46	1277
76	-52	93	1492
77	-45	-97	1493
78	-44	-7	1674
79	-1	0	680
80	-95	85	1542
