Trial	x	y	RT
1	-153	1	4609
2	0	0	2155
3	-47	-2	2851
4	0	0	1110
5	0	0	1077
6	-7	-202	1807
7	8	-210	1824
8	-102	48	2984
9	0	0	680
10	0	0	1044
11	0	0	644
12	-50	45	2703
13	-46	98	3664
14	-13	-205	2355
15	-63	-98	1890
16	11	-52	1774
17	163	-53	2669
18	51	-142	2918
19	-5	-147	1708
20	-50	-54	3930
21	-3	-205	1956
22	-100	-110	3448
23	-98	-150	3101
24	5	-207	2421
25	4	-211	1525
26	-6	-152	1526
27	48	-200	1691
28	-43	-207	1708
29	-48	101	2852
30	-208	46	2089
31	0	-217	2039
32	-49	-210	1542
33	-94	-54	2835
34	-8	-221	1443
35	215	-148	1940
36	-49	-215	2305
37	-101	-154	2586
38	111	-212	2089
39	-4	-220	2172
40	-42	-160	3830
41	-61	-224	1558
42	-86	-156	1442
43	-55	-156	2719
44	4	-217	1642
45	-1	-219	1956
46	8	-224	1608
47	-110	-107	3880
48	6	-220	1791
49	-49	-205	2636
50	2	-217	1642
51	-50	-158	1989
52	-49	-207	3912
53	-1	-215	1691
54	31	-219	1824
55	-4	-219	1509
56	11	-217	1757
57	3	-220	2040
58	-4	-218	2188
59	102	-149	3614
60	4	-211	1824
