Trial	x	y	RT
1	-193	96	5571
2	39	-143	7096
3	-55	-50	5670
4	4	-105	5588
5	-87	44	7809
6	1	0	1027
7	-49	-3	5521
8	-91	41	6350
9	48	-54	7626
10	104	94	2653
11	-145	44	3979
12	-199	151	2122
13	-158	148	6930
14	0	-102	3465
15	-106	0	6102
16	102	-50	3896
17	-52	-2	4443
18	88	-100	4792
19	95	0	4195
20	-101	198	6201
21	40	-52	8837
22	-105	43	5853
23	-163	50	6980
24	0	-1	5587
25	105	-106	6748
26	-103	-153	2388
27	-52	-151	5886
28	0	-101	8704
29	-191	196	8174
30	-197	-53	6217
31	53	-150	4079
32	-157	-148	6549
33	-197	103	3747
34	3	-99	7610
35	147	54	3333
36	-5	-51	3830
37	-58	-50	6267
38	142	-47	6118
39	-39	-102	6765
40	-109	47	8191
41	-45	-105	1824
42	105	146	2835
43	90	-104	4211
44	-1	-2	6400
45	-99	-51	6714
46	189	155	1940
47	-150	150	4344
48	-40	-95	7228
49	-153	95	8688
50	11	-151	2155
51	157	-100	3514
52	-140	1	4079
53	-8	-96	3133
54	144	53	3531
55	-4	-200	3316
56	-2	-46	7013
57	0	0	4227
58	154	-45	4858
59	-150	147	3979
60	6	-104	5338
