Trial	x	y	RT
1	-54	45	3150
2	-91	-112	3498
3	-157	151	2951
4	140	38	3100
5	-133	4	3034
6	56	-1	1276
7	2	-199	1426
8	0	0	2520
9	-52	-140	3067
10	49	-4	3664
11	11	-147	3266
12	-93	37	2421
13	1	-150	2985
14	0	-201	1674
15	-149	33	3995
16	-45	-9	2138
17	15	-48	3150
18	52	-149	3847
19	55	-95	3001
20	-57	50	3681
21	-130	44	3183
22	-151	139	2968
23	-147	48	3068
24	58	-157	1774
25	1	-205	1426
26	-96	-97	3349
27	147	-200	4029
28	1	-209	1807
29	-79	-94	3050
30	0	-139	1642
31	2	111	2387
32	7	-216	2404
33	-157	-13	3051
34	99	-5	1442
35	0	-159	1243
36	-51	3	2819
37	-101	-4	2752
38	-38	-96	2768
39	6	-107	2354
40	-92	-93	3017
41	3	-104	2421
42	49	-128	2835
43	-87	133	1227
44	8	-195	1492
45	-54	108	3051
46	11	-151	1957
47	-148	37	2504
48	-58	45	945
49	8	-114	2006
50	3	-147	1309
51	0	-111	1609
52	-197	21	1873
53	116	69	2089
54	-2	-9	1591
55	0	0	547
56	-86	52	1442
57	56	-1	1061
58	4	5	2885
59	0	0	2835
60	0	0	3382
61	-44	-20	1906
62	-94	-2	1459
63	0	0	995
64	8	-105	1940
65	-1	0	2072
66	-212	145	1675
67	59	4	1111
68	50	52	1989
69	0	0	1426
70	-134	56	2984
71	-224	224	1857
72	1	40	2007
73	-171	161	2255
74	5	-62	2239
75	-220	139	2636
76	-45	217	1044
77	0	-2	2006
78	0	12	1791
79	-1	-1	1027
80	-177	56	2288
