Trial	x	y	RT
1	-138	38	3249
2	0	-149	3448
3	-163	45	3913
4	179	8	2819
5	-183	69	2653
6	-22	-203	2437
7	0	-225	1906
8	-2	-220	3167
9	-168	30	2669
10	-2	-200	2172
11	-125	-36	4029
12	-190	51	3349
13	-15	-144	2603
14	46	-156	1658
15	-187	37	2338
16	34	41	2868
17	66	33	2802
18	31	-170	2006
19	34	-121	2288
20	-140	-24	3333
21	76	-64	2769
22	-177	115	2835
23	-155	35	1940
24	11	-175	1973
25	-3	-219	1641
26	-177	94	1890
27	139	43	2172
28	4	-225	1459
29	-157	31	3084
30	-182	-1	2603
31	0	0	1592
32	-3	-225	1923
33	-221	-3	1924
34	60	-73	3034
35	28	-160	2106
36	3	-3	2686
37	-91	50	1658
38	25	-162	2454
39	-117	40	2653
40	-124	25	2818
41	-9	-152	2006
42	-31	-42	2272
43	-154	76	2686
44	3	-207	2288
45	-147	55	2686
46	-18	-158	2420
47	-122	8	2869
48	-122	-38	3100
49	-159	78	1857
50	95	-167	1890
51	0	0	2735
52	-214	141	2669
53	113	-56	2122
54	-2	-104	1708
55	32	-161	2503
56	-19	-166	2321
57	56	-162	1559
58	33	-202	2189
59	0	-134	3133
60	6	-160	2752
61	18	-166	2470
62	-179	49	4029
63	8	-225	1608
64	-29	-114	2935
65	-125	-135	2238
66	-168	-20	2835
67	-6	-215	1426
68	180	4	2039
69	11	-209	1906
70	-135	2	2653
71	-189	105	1890
72	4	-178	1841
73	-193	148	2006
74	-1	-225	1890
75	-126	-11	2537
76	-176	99	2387
77	-5	-222	1559
78	6	-159	2404
79	-10	-196	1708
80	-180	129	2288
