Trial	x	y	RT
1	-153	108	2735
2	0	0	497
3	-151	150	2620
4	107	-2	2752
5	-89	98	3565
6	0	0	614
7	0	0	464
8	-107	-5	2752
9	-100	94	3150
10	103	5	1957
11	-139	-8	2155
12	-108	49	3051
13	-89	-2	2338
14	57	-105	3217
15	-107	-98	3581
16	150	53	2503
17	150	102	2305
18	157	-3	1476
19	153	-4	1393
20	-97	-5	2238
21	103	-104	2786
22	-200	187	1890
23	-148	145	1940
24	0	0	597
25	0	0	2254
26	-148	-9	2453
27	162	47	2156
28	-54	-3	2669
29	-104	97	2801
30	-147	47	2884
31	107	-3	2371
32	109	-5	1475
33	-200	104	2453
34	192	-2	1824
35	211	0	2785
36	94	-1	1078
37	-202	142	1327
38	109	1	2321
39	-98	105	1343
40	-102	51	2669
41	-2	0	564
42	-27	1	4029
43	-157	98	1857
44	0	0	1426
45	-145	55	3150
46	0	0	663
47	-152	50	3266
48	-102	1	3299
49	-157	105	1691
50	0	0	1493
51	-105	-2	2238
52	-218	199	1641
53	0	0	663
54	0	0	829
55	0	0	581
56	-163	95	2686
57	0	0	514
58	0	0	1045
59	-97	-4	3100
60	0	0	1194
61	204	-2	3283
62	-202	148	2354
63	207	-3	2089
64	-109	193	2056
65	155	4	2470
66	-190	197	1426
67	0	0	1691
68	0	0	1542
69	-3	0	1160
70	-190	109	3083
71	-191	191	3548
72	0	0	1558
73	-190	148	2536
74	207	107	3001
75	-187	96	1840
76	-99	107	3332
77	9	1	3034
78	-154	146	3697
79	0	0	663
80	-155	144	2520
