Trial	x	y	RT
1	-103	93	3001
2	112	-107	3018
3	-56	52	2736
4	100	-2	3366
5	-102	45	3316
6	0	0	1509
7	0	0	1044
8	-152	149	4327
9	4	-52	4062
10	203	-49	4261
11	-195	91	3383
12	-103	51	3233
13	-198	196	2437
14	0	0	1211
15	6	-49	2802
16	-49	47	4112
17	0	0	1260
18	155	-58	3979
19	2	-148	2918
20	-194	93	2902
21	-45	-103	3912
22	-98	95	4725
23	-194	162	2222
24	5	-209	2371
25	4	-198	1624
26	-104	3	3283
27	4	-201	1592
28	12	-198	2669
29	-147	153	2305
30	-105	101	3631
31	-5	-200	2056
32	3	-52	2039
33	-198	204	2122
34	-45	51	2901
35	205	6	2951
36	1	-99	3664
37	-98	1	3000
38	154	43	2985
39	5	-149	1973
40	-90	2	3449
41	53	47	2918
42	48	97	3698
43	-97	34	4045
44	-3	-205	2205
45	-88	46	2653
46	0	0	1956
47	-144	95	2470
48	-46	47	2487
49	-186	48	2504
50	0	0	978
51	-207	93	2736
52	-101	-1	2371
53	0	0	1741
54	208	-7	2851
55	-2	-97	2089
56	-61	38	2504
57	1	-196	1575
58	56	4	2354
59	-156	7	2022
60	53	1	1575
