Trial	x	y	RT
1	-117	89	2619
2	104	41	2851
3	-49	33	2337
4	32	-64	3929
5	-60	37	3150
6	-2	-105	1906
7	2	-60	2918
8	-15	41	2288
9	-64	42	2835
10	71	31	2487
11	-44	76	1641
12	-71	22	2520
13	-109	118	1244
14	0	-48	1807
15	-58	-26	2304
16	-36	-20	2587
17	-16	25	2819
18	30	-69	2984
19	2	-53	3050
20	-120	130	1890
21	29	-43	3134
22	-32	31	3117
23	-118	130	1907
24	1	-59	2056
25	2	-55	2819
26	-37	14	2271
27	-1	-93	2652
28	-5	-98	2901
29	-82	86	2653
30	121	-74	2537
31	17	-65	3117
32	31	-64	2934
33	-153	128	1758
34	25	27	3001
35	25	-40	2620
36	4	-57	3365
37	-63	20	3299
38	36	-4	2818
39	-71	36	2105
40	-73	68	3216
41	-45	-26	3100
42	-55	76	4029
43	-48	61	2902
44	0	-93	1708
45	-36	33	2056
46	36	-62	2471
47	-75	76	1741
48	-28	66	2819
49	-134	151	1923
50	-20	-72	3232
51	-32	82	2371
52	-73	26	3017
53	-21	24	3746
54	111	-119	1774
55	0	-103	2023
56	-63	48	3216
57	4	-85	2022
58	170	-5	2404
59	-109	132	2686
60	125	-7	2354
61	5	19	3448
62	-157	155	2271
63	-2	-75	1990
64	-153	152	2371
65	2	-88	3084
66	-68	42	2669
67	6	82	4028
68	6	46	3250
69	82	-7	2155
70	-116	48	2106
71	-124	-15	2968
72	151	27	1857
73	-127	24	2951
74	-4	-49	2089
75	-146	147	2056
76	5	42	2454
77	1	1	2703
78	-152	45	2122
79	-125	-38	2703
80	-109	30	2918
