Trial	x	y	RT
1	-120	-49	2288
2	-112	-165	1625
3	-143	189	1675
4	204	-47	2272
5	-159	57	1293
6	0	0	1045
7	0	0	1028
8	-141	83	1841
9	-78	-55	1840
10	-57	-40	2520
11	-120	45	2520
12	-160	134	2819
13	-129	47	2653
14	144	-48	2637
15	-165	58	2437
16	-185	99	1923
17	71	50	2122
18	-35	-3	1923
19	111	46	1675
20	-107	55	2586
21	3	53	1326
22	-58	211	2073
23	-217	131	1824
24	-55	0	1575
25	0	0	1359
26	-104	147	1393
27	203	-108	1592
28	-73	56	2271
29	-185	-46	2089
30	-179	-6	2354
31	-48	-1	2122
32	0	0	1376
33	-149	8	1890
34	166	102	1774
35	94	-53	2023
36	147	87	1725
37	-198	136	1276
38	111	-69	2520
39	-196	82	2487
40	-129	37	2271
41	4	43	3216
42	-153	36	2171
43	-119	136	2387
44	-9	0	2139
45	-205	148	2719
46	-60	-36	3084
47	-217	134	2901
48	-217	218	2288
49	-160	86	1824
50	181	76	2255
51	-162	-96	2288
52	-205	193	1526
53	176	96	2155
54	-42	-81	3200
55	89	-1	2768
56	-108	-84	1608
57	215	-150	1907
58	-8	-1	2852
59	-138	-51	1923
60	84	-42	2388
61	0	0	1045
62	-222	82	2304
63	0	0	829
64	-43	-55	2239
65	195	125	1609
66	-212	143	2354
67	-6	-97	2570
68	157	105	1724
69	55	-2	1906
70	-146	46	2636
71	-177	156	1973
72	67	-56	3034
73	-140	165	3001
74	209	60	1442
75	-207	67	2636
76	-107	122	1624
77	211	-172	2453
78	-3	-215	2321
79	-10	-54	2719
80	-158	208	2719
