Trial	x	y	RT
1	-200	151	4808
2	10	-87	7146
3	-205	103	4924
4	-1	-145	4858
5	-104	2	6300
6	-1	-149	3481
7	154	-4	5504
8	-198	149	3681
9	-100	-2	5123
10	157	-49	3813
11	-155	-104	3465
12	-107	-1	4444
13	-150	53	4891
14	-44	-148	6997
15	-100	-1	6648
16	-147	53	8190
17	2	-53	8688
18	-44	-155	5438
19	-4	-101	7411
20	-158	-2	8373
21	56	-147	8804
22	-150	102	6930
23	-201	102	3929
24	0	-151	2669
25	156	-54	3863
26	-101	-50	9881
27	-5	-152	10412
28	-48	-203	6101
29	-159	-50	9981
30	-154	46	6549
31	3	-147	5040
32	-3	-150	5289
33	-158	53	7692
34	100	2	7427
35	151	1	3697
36	-49	-147	5472
37	-150	1	5454
38	149	103	4095
39	-104	-50	6830
40	-104	50	4426
41	-94	-1	6300
42	-201	96	7212
43	-206	102	5172
44	-45	-154	5089
45	-98	-50	10627
46	-7	-97	5836
47	-103	95	6781
48	-101	2	5504
49	-150	100	4013
50	-1	-101	2354
51	-158	50	2686
52	-160	50	4908
53	-5	-50	4941
54	-101	-53	3299
55	-9	-105	6830
56	-5	46	7842
57	0	0	6283
58	152	50	3780
59	-95	100	5239
60	101	0	3150
