Trial	x	y	RT
1	-107	47	2420
2	105	-2	1326
3	-108	99	2537
4	102	-54	1923
5	-94	50	1840
6	5	-103	1641
7	0	1	481
8	-100	48	2321
9	3	49	1078
10	-3	-47	2056
11	-1	-2	2255
12	-59	101	2239
13	-2	45	2271
14	0	-155	1525
15	-99	49	2122
16	-95	103	2221
17	55	-48	1094
18	55	-3	1807
19	2	-207	2188
20	-151	91	3018
21	-1	-49	846
22	-143	102	2321
23	-89	143	2156
24	0	0	431
25	0	0	315
26	-101	101	1327
27	96	-52	2503
28	3	-153	994
29	-149	150	2652
30	-149	98	2188
31	51	-55	2786
32	0	0	1575
33	-147	149	1725
34	64	-57	2653
35	53	-50	1442
36	-50	51	2139
37	-98	145	2089
38	49	-2	2221
39	-1	98	1078
40	-45	39	2305
41	52	-6	2471
42	-53	103	2603
43	-153	147	2056
44	7	-158	1293
45	-56	98	3034
46	2	-107	1293
47	-40	96	2769
48	-106	147	2868
49	-95	151	1558
50	-1	-104	1989
51	-106	99	1144
52	-142	153	1409
53	156	53	1310
54	8	-154	2537
55	7	-153	1691
56	-53	152	2354
57	52	101	1774
58	155	46	2537
59	-48	31	1426
60	-1	-205	1707
61	-1	-123	2139
62	-152	156	2056
63	-8	-98	1774
64	1	151	2006
65	1	-137	2968
66	-156	155	1708
67	2	-146	2023
68	0	-180	1624
69	57	-125	2188
70	-152	101	1757
71	-172	174	2504
72	53	-144	1095
73	-159	154	2354
74	58	-149	1509
75	-145	149	1558
76	-125	124	1608
77	159	100	2669
78	-46	107	1791
79	2	-154	1293
80	-137	137	1592
