Trial	x	y	RT
1	-147	56	3332
2	-105	-30	3034
3	-135	109	1807
4	192	96	1310
5	-152	102	2354
6	198	-87	2735
7	3	-1	1525
8	1	31	2951
9	-54	-19	1525
10	0	0	431
11	-47	8	1823
12	-128	80	1939
13	-27	22	3515
14	72	-1	2338
15	-107	26	2139
16	-132	127	1956
17	130	68	2188
18	-40	-13	3499
19	11	14	2387
20	-96	30	3150
21	-101	68	3183
22	-190	124	2138
23	-131	162	2636
24	36	-106	2736
25	0	2	2304
26	-52	148	2420
27	97	-126	3018
28	24	-69	2139
29	-122	59	3051
30	-34	38	2006
31	-125	58	2189
32	-28	25	2537
33	-78	83	3283
34	88	-60	2056
35	-27	-25	2454
36	3	109	2868
37	-132	129	1294
38	78	-13	2586
39	-124	120	1807
40	-86	-1	3216
41	-35	-37	962
42	-63	14	2006
43	-126	76	2189
44	-88	-20	2934
45	-118	72	2868
46	38	5	1923
47	-41	-23	3150
48	-142	136	3747
49	-47	0	4029
50	-71	74	2471
51	4	-45	1840
52	-152	174	1890
53	79	68	2520
54	42	-1	2304
55	59	-16	2221
56	-176	172	2686
57	116	-21	1972
58	34	-9	2321
59	-26	-10	2371
60	-29	7	2205
61	-28	-25	2636
62	-91	146	2852
63	22	-48	2487
64	-45	-21	2205
65	-37	22	2487
66	-163	90	1044
67	17	15	2537
68	-102	26	1741
69	-10	2	2123
70	-5	2	2753
71	-183	139	962
72	33	-18	1343
73	-154	70	1160
74	59	-123	1592
75	-72	32	2818
76	-80	161	929
77	4	-92	1840
78	-55	22	2039
79	-24	-36	2918
80	-140	95	2619
