Trial	x	y	RT
1	-100	48	2984
2	152	-149	3034
3	-144	-45	3680
4	111	-53	3133
5	-137	-10	3265
6	-2	-1	1559
7	0	0	812
8	-148	90	3117
9	-37	-2	2984
10	202	140	2768
11	-47	-46	2221
12	-96	-46	2768
13	-3	104	2188
14	102	-6	3481
15	-96	-47	3299
16	6	-1	2155
17	67	-46	2968
18	-103	96	3399
19	96	40	4029
20	-141	92	2768
21	4	98	3962
22	-108	47	2619
23	-145	144	3167
24	147	0	3034
25	189	1	2188
26	-7	0	1973
27	46	2	2470
28	-3	0	879
29	-103	-158	2786
30	-146	46	2304
31	8	-2	1757
32	-2	-5	945
33	-193	-3	1940
34	162	-96	3730
35	199	3	1426
36	0	0	1426
37	-57	42	2952
38	196	4	1210
39	-47	-5	2703
40	-92	-51	3216
41	55	46	2768
42	9	116	4028
43	-146	99	2006
44	113	4	2172
45	-193	-3	3399
46	11	97	1823
47	-6	61	2719
48	-162	47	3117
49	-151	95	2073
50	0	0	1558
51	151	-48	2420
52	-157	-2	2670
53	-48	10	4029
54	114	3	2238
55	164	-42	2851
56	-210	136	2719
57	-13	28	961
58	172	6	1459
59	102	49	2338
60	162	61	1973
61	0	0	1940
62	-146	48	2735
63	61	5	1791
64	37	47	1824
65	22	4	1906
66	-190	146	1774
67	203	87	1426
68	100	1	1525
69	48	11	1940
70	-141	47	2288
71	-150	91	2404
72	157	42	2006
73	-184	149	1791
74	60	-2	2056
75	-148	143	1973
76	-156	99	2404
77	7	9	2006
78	-87	100	2205
79	1	-1	1508
80	-166	61	3300
