Trial	x	y	RT
1	3	-52	1658
2	1	-98	2172
3	-192	53	1758
4	106	1	1558
5	-52	-3	928
6	0	0	1012
7	0	43	1757
8	-49	-3	1658
9	-41	103	1144
10	16	-55	2089
11	0	0	1957
12	-1	52	1724
13	0	0	1840
14	46	3	1061
15	-34	49	1591
16	-49	43	2089
17	43	39	1011
18	-2	-60	1890
19	0	0	746
20	-36	-3	1857
21	-48	1	1227
22	-111	54	2636
23	-45	0	2072
24	10	-55	1724
25	0	0	945
26	6	102	1194
27	0	0	1890
28	16	-41	2205
29	-47	81	2023
30	-35	-4	2702
31	43	-4	664
32	12	-103	1807
33	0	0	1741
34	94	2	1409
35	4	-47	1757
36	0	0	547
37	-39	44	1028
38	45	11	929
39	-9	45	1326
40	-2	-40	2023
41	8	-36	895
42	-1	0	779
43	-41	33	812
44	10	-155	1094
45	0	50	994
46	0	0	862
47	0	0	862
48	-52	95	1475
49	-33	-9	1940
50	0	0	911
51	-39	-9	2171
52	-145	43	2155
53	51	-9	779
54	0	0	530
55	2	-51	1011
56	-6	52	1078
57	53	-1	978
58	0	0	713
59	-10	-1	1807
60	0	-51	1293
61	89	55	1758
62	-50	-43	2686
63	47	47	1111
64	-3	42	1758
65	0	0	1277
66	-88	37	1691
67	4	-45	1376
68	-57	47	1591
69	10	-55	846
70	-41	3	1011
71	-200	52	2138
72	53	-8	1227
73	-54	47	1923
74	-46	-4	2023
75	-44	1	1393
76	2	91	2570
77	0	0	315
78	15	-51	1973
79	15	-51	1078
80	-4	52	1525
