Trial	x	y	RT
1	-97	32	2520
2	42	37	3117
3	-124	71	2885
4	156	49	1807
5	-122	130	2056
6	121	-9	2205
7	27	-55	3166
8	-101	33	3249
9	-50	74	2371
10	1	-54	3531
11	-37	48	3282
12	-92	136	2801
13	-43	-6	3150
14	-56	3	2802
15	-106	48	3515
16	-106	196	2835
17	145	43	3018
18	1	-47	3797
19	41	3	3581
20	-16	37	4028
21	-4	49	2039
22	-96	100	2869
23	-146	62	3349
24	6	-99	2438
25	0	-95	4029
26	-91	96	3017
27	88	-3	2470
28	-4	-52	2586
29	-109	43	3050
30	-64	3	3631
31	-87	75	2735
32	4	-97	2652
33	-93	3	3399
34	153	50	2122
35	43	-4	3183
36	-122	53	2968
37	-112	55	2603
38	54	-3	3299
39	-104	97	2768
40	-116	50	4028
41	13	1	2653
42	-81	122	3150
43	-146	180	2554
44	-21	-56	2785
45	-115	83	3847
46	38	-10	3416
47	-105	42	2769
48	-151	104	3515
49	-91	49	3349
50	50	-43	2669
51	-92	84	2736
52	-123	119	2387
53	63	18	3415
54	45	-8	3067
55	-104	48	1774
56	-177	147	2520
57	109	1	2288
58	50	-7	2868
59	-46	5	2305
60	4	-99	3034
61	45	52	1741
62	-145	70	2868
63	60	37	3134
64	-55	36	3498
65	-3	-128	2802
66	-182	115	2786
67	40	-49	2570
68	-68	28	2752
69	53	-46	2786
70	-81	52	2669
71	-93	157	2603
72	49	0	2802
73	-92	138	2487
74	102	29	2139
75	-97	80	2719
76	-140	60	2819
77	0	0	912
78	-56	139	2039
79	-22	-56	2951
80	-137	127	3217
