Trial	x	y	RT
1	-142	89	3117
2	99	-59	3581
3	-166	85	4028
4	13	-148	2172
5	0	-13	2918
6	-3	-11	2355
7	-8	-103	2520
8	-142	8	3217
9	-98	49	3366
10	108	0	3150
11	-96	7	1774
12	-98	46	2487
13	-98	90	3929
14	7	-152	995
15	-109	0	2421
16	-1	-53	2603
17	109	-2	1940
18	0	-156	1309
19	-1	-155	2188
20	-145	55	2554
21	-108	-9	3017
22	-194	66	3482
23	-142	93	3399
24	2	-203	1376
25	147	1	2703
26	-106	0	1641
27	9	-159	1624
28	-1	1	1774
29	-146	39	1874
30	-103	-4	1757
31	9	-153	2403
32	-62	-1	1558
33	-105	59	2984
34	16	-92	1924
35	148	2	1310
36	5	0	1343
37	2	-139	2719
38	96	-2	1144
39	-60	-4	1442
40	-98	46	1642
41	-1	-4	1393
42	5	0	2354
43	-147	49	2056
44	59	-4	1956
45	-54	-7	2967
46	0	0	1475
47	-56	-3	2287
48	-109	42	2105
49	-148	95	2205
50	0	0	647
51	-92	-1	1426
52	-144	-5	1940
53	3	-41	1409
54	112	1	1475
55	-3	-104	1293
56	4	-45	2238
57	0	0	513
58	91	-5	1243
59	-54	-3	1377
60	103	-4	1475
61	0	0	1160
62	-162	-8	1741
63	108	1	2039
64	-161	159	1873
65	0	0	414
66	-201	-1	1856
67	135	-1	1525
68	-1	-63	978
69	143	-1	1392
70	-147	146	1177
71	-147	-5	1890
72	158	-8	1210
73	-104	3	1144
74	-5	-109	1111
75	-191	49	2504
76	-96	-1	2304
77	6	-147	1989
78	-148	100	1591
79	96	-11	1011
80	-182	-7	2156
