Trial	x	y	RT
1	-142	150	2868
2	-3	-98	1178
3	-92	39	1989
4	4	-95	1376
5	-52	-6	1260
6	-3	-207	1957
7	2	-203	1509
8	-103	94	2321
9	13	-47	1260
10	-46	-55	1144
11	13	-45	1392
12	-43	-4	1741
13	-151	53	3713
14	3	-206	2288
15	-57	-102	2885
16	-144	48	3615
17	57	-100	1840
18	59	-99	2105
19	-2	-101	1657
20	-105	100	3051
21	-2	-52	2321
22	-112	0	4029
23	-99	92	1641
24	8	-198	1625
25	-3	-201	1327
26	1	-101	1160
27	5	-151	1492
28	8	-157	1807
29	-141	98	1591
30	62	-2	1493
31	9	-151	2023
32	4	-141	1144
33	-103	96	2835
34	8	-152	1641
35	91	-3	1377
36	0	-154	2172
37	-95	-53	2984
38	102	47	1376
39	-4	-50	845
40	-104	-5	1244
41	-50	-6	2387
42	-100	0	2073
43	-59	53	2885
44	7	-194	1310
45	-99	-44	2736
46	-1	-151	978
47	-92	-3	2039
48	-35	40	1360
49	-98	43	1907
50	1	-142	1260
51	48	-94	2388
52	-54	-2	1442
53	-5	-146	1525
54	98	-151	1575
55	-10	-193	1392
56	109	-55	2553
57	9	-196	1293
58	117	-48	2586
59	-115	42	2935
60	7	-199	1078
61	8	-163	1459
62	-142	46	1343
63	-8	-104	1210
64	-102	53	2885
65	5	-145	1194
66	-111	52	2553
67	10	-144	1044
68	6	-150	1442
69	98	-53	1144
70	-103	54	2089
71	-98	2	1907
72	95	-4	1326
73	-44	-1	1061
74	57	-45	1658
75	-147	146	1708
76	-87	-1	1310
77	-45	-96	2023
78	-145	100	1492
79	5	-101	2437
80	-107	-49	2620
