Trial	x	y	RT
1	-126	47	3365
2	98	-37	2885
3	-180	167	2735
4	147	-140	2006
5	-55	205	3101
6	0	0	530
7	60	-6	2885
8	-190	43	3664
9	201	36	3266
10	70	-69	3200
11	-84	35	2570
12	-132	173	2354
13	-184	72	2636
14	78	61	3780
15	-115	107	2702
16	-196	2	3315
17	198	-29	2967
18	64	-193	3929
19	161	-6	2139
20	-150	50	3299
21	63	-145	3366
22	-211	206	3134
23	-144	89	3167
24	0	0	1459
25	49	2	1327
26	-196	74	3365
27	203	-139	3166
28	121	-173	3415
29	-125	125	4029
30	-174	50	2189
31	-1	96	3250
32	-57	2	647
33	-198	108	2570
34	212	38	2686
35	156	-198	3482
36	-6	-192	2852
37	-207	63	2885
38	55	-5	1790
39	139	-62	3962
40	-15	67	3017
41	-66	-188	1790
42	-50	79	3068
43	-166	144	1542
44	0	0	531
45	-81	199	2653
46	55	-168	2470
47	-160	46	2669
48	56	-103	3598
49	-127	45	2869
50	204	-179	2686
51	29	-138	1177
52	-186	169	1675
53	212	-186	2189
54	83	-11	2520
55	197	66	3664
56	173	113	978
57	37	-183	2222
58	46	-62	3150
59	-88	-212	1177
60	1	-201	1359
61	2	-80	3266
62	-147	115	2055
63	-8	-201	1609
64	-19	114	2802
65	4	-196	1110
66	-211	207	3067
67	139	-190	2769
68	-71	-190	1724
69	103	-39	2371
70	-191	76	1642
71	-198	193	1973
72	-7	-166	3515
73	-214	211	2952
74	160	-188	2569
75	-206	78	3713
76	-103	91	1807
77	138	-133	2818
78	-118	-201	2122
79	82	-194	2818
80	-206	206	3217
