Trial	x	y	RT
1	-158	2	5123
2	163	-1	4178
3	-155	-43	4758
4	-5	-100	2305
5	-100	-1	5106
6	0	-216	3564
7	-23	-201	3531
8	-52	37	3830
9	-3	-60	4775
10	157	-72	4891
11	-49	-197	3332
12	-80	52	7494
13	-37	-42	8820
14	9	-208	3929
15	-55	-38	3680
16	-20	-135	6649
17	66	1	4344
18	87	-110	2785
19	6	-141	3001
20	-73	121	7162
21	-24	-131	5554
22	-119	42	5886
23	-127	36	8058
24	5	-189	2487
25	28	-206	4178
26	-53	-54	6698
27	27	-173	3117
28	-85	-47	2918
29	-112	107	4874
30	-107	-72	2619
31	-3	-69	2719
32	-72	-164	4245
33	-143	88	5422
34	33	-47	4609
35	57	-60	4062
36	-23	-64	4941
37	-49	-51	4625
38	111	-65	2238
39	-31	-85	2172
40	-100	33	4924
41	-1	4	7212
42	-57	-68	9483
43	-78	-44	3995
44	-4	-128	5306
45	-43	-37	3830
46	101	2	2354
47	-39	-49	2106
48	-47	-63	4940
49	-120	37	4874
50	-10	-88	1360
51	149	21	2238
52	-51	-66	1508
53	1	-57	3399
54	35	-84	5371
55	-2	-112	3499
56	53	-47	2471
57	-3	-58	1227
58	143	30	1840
59	-40	35	1459
60	17	4	1492
