Trial	x	y	RT
1	-188	134	3017
2	201	-122	2105
3	-195	98	2089
4	-186	-54	3150
5	-195	-74	2321
6	0	0	2636
7	-94	2	829
8	-200	120	2453
9	-194	-23	2420
10	0	0	1359
11	-130	4	2023
12	-201	58	1758
13	-205	65	1990
14	0	0	929
15	-197	68	1691
16	0	0	846
17	165	-111	1708
18	167	-77	1990
19	-2	2	846
20	-131	153	1393
21	4	-12	2902
22	-200	151	2006
23	-208	194	1178
24	0	0	1227
25	193	-10	1409
26	-208	140	2056
27	197	-156	2105
28	193	-2	1525
29	-207	185	1476
30	-186	58	1244
31	-2	-5	1177
32	0	0	796
33	-196	130	1525
34	97	1	2039
35	196	82	2454
36	-2	-3	1193
37	-202	100	1310
38	202	3	1310
39	-221	60	2802
40	-198	14	1707
41	-9	4	1044
42	95	5	2470
43	-184	97	1774
44	0	0	596
45	-191	6	1923
46	200	12	1127
47	-200	0	1492
48	-170	8	1658
49	-192	133	1294
50	0	0	1110
51	76	1	1658
52	-184	172	862
53	0	0	829
54	0	0	381
55	170	9	1144
56	-146	2	1310
57	69	-1	1641
58	208	18	1426
59	-193	84	1840
60	118	-2	1443
61	0	-1	1011
62	-221	135	1177
63	-39	3	1790
64	-194	40	1310
65	-69	-2	1443
66	-192	125	1277
67	122	-2	945
68	-133	7	1061
69	192	7	945
70	-203	142	1508
71	-197	148	1293
72	211	15	1226
73	-176	108	1211
74	168	3	763
75	-199	175	1094
76	-186	132	1177
77	-144	8	1758
78	-162	28	1227
79	-103	-5	1642
80	-203	97	1376
