Trial	x	y	RT
1	-118	-103	2371
2	142	-49	2769
3	-146	104	2454
4	56	-53	3664
5	-4	-51	2851
6	11	-102	2388
7	8	-43	2205
8	4	147	2768
9	-56	-50	3133
10	153	6	2321
11	-147	-4	2835
12	-61	-4	2802
13	2	95	1409
14	5	-55	1459
15	-102	-10	3581
16	-11	-56	3200
17	46	-100	3465
18	107	-102	1442
19	9	-108	3199
20	-112	47	4029
21	2	51	2935
22	-135	-4	3200
23	-150	44	2205
24	6	-141	3366
25	197	60	1841
26	-2	-106	4029
27	-6	-45	1774
28	-1	-1	1525
29	-57	103	3017
30	-3	53	3862
31	105	-59	2619
32	9	-151	1442
33	-193	151	2039
34	15	-57	1376
35	164	-4	1509
36	-1	-7	2371
37	-48	-43	2719
38	57	-53	2371
39	43	2	2851
40	-42	-48	3499
41	110	0	1194
42	139	98	1277
43	-93	3	2819
44	55	-50	1459
45	-104	48	3548
46	-7	-107	1973
47	-195	195	1624
48	-142	55	3614
49	-183	-31	4029
50	97	108	1857
51	210	4	2072
52	-92	-45	2471
53	-8	-105	1558
54	1	0	1127
55	10	-91	2437
56	52	50	1807
57	9	-202	2437
58	198	1	2404
59	148	52	2139
60	3	-155	2421
61	57	-6	2719
62	-113	95	2503
63	151	-2	1410
64	140	-6	1956
65	12	-113	1923
66	-143	-51	3166
67	66	-53	2337
68	14	-98	1360
69	154	-5	1575
70	-155	58	1541
71	-146	87	3333
72	204	-4	1492
73	-158	-7	2984
74	9	-49	3366
75	-185	152	2139
76	0	-54	3051
77	49	-6	3498
78	-52	156	1111
79	-58	-106	2819
80	-146	-1	3067
