Trial	x	y	RT
1	3	6	1309
2	22	-3	1227
3	-133	166	1293
4	108	75	1095
5	-60	82	1608
6	0	-193	1526
7	8	-117	1376
8	8	-25	1609
9	30	15	1707
10	0	0	1044
11	-23	4	1425
12	-50	73	1293
13	4	-57	1393
14	36	15	1874
15	-43	14	1393
16	-35	60	1078
17	94	-1	1989
18	-2	-4	1309
19	105	-47	1938
20	-13	0	1525
21	-33	0	1443
22	-88	91	1376
23	-41	17	1526
24	0	0	995
25	-4	-200	1177
26	-4	-80	1708
27	93	76	1177
28	6	-85	1576
29	0	0	1094
30	-7	-92	2205
31	10	-49	746
32	1	-176	1525
33	-112	55	2288
34	85	-4	1592
35	13	-93	912
36	-25	-20	1940
37	-111	32	1741
38	22	-130	2702
39	-133	84	2305
40	-27	-4	1442
41	13	-29	1957
42	-31	-85	2669
43	-114	132	1095
44	5	-184	2056
45	-128	78	1359
46	60	-114	2056
47	-96	53	1177
48	-75	67	1310
49	-32	-6	1277
50	50	38	1128
51	0	0	895
52	-124	114	1094
53	123	117	1011
54	31	-28	2238
55	5	-140	928
56	-132	16	1708
57	0	0	1293
58	0	0	1127
59	-16	-68	2471
60	17	-185	2122
61	12	-94	2106
62	-55	39	1542
63	7	-152	1326
64	-37	-47	1890
65	15	-113	1409
66	-107	126	1725
67	-46	-8	1873
68	-41	-60	1923
69	-9	-30	1840
70	-47	-5	1641
71	-186	193	1094
72	7	-167	1309
73	-144	128	945
74	141	20	1459
75	-80	40	1757
76	-50	31	1061
77	40	-3	1808
78	-7	-57	1359
79	-2	-139	2139
80	-164	128	1658
