Trial	x	y	RT
1	-108	153	3299
2	11	-1	1476
3	-148	143	1956
4	147	-51	2072
5	-156	101	2023
6	5	-189	2487
7	-6	-2	945
8	-58	0	2387
9	-100	47	1309
10	0	0	398
11	-41	-7	1127
12	-105	199	2156
13	-27	1	2653
14	0	0	265
15	-109	106	2885
16	-202	203	1409
17	69	-4	1973
18	0	0	265
19	0	0	265
20	-145	148	2984
21	-28	-1	813
22	-187	204	1625
23	-153	141	1393
24	0	0	365
25	0	0	381
26	-104	147	1260
27	147	-108	1890
28	-5	3	398
29	-3	44	2371
30	-79	-3	895
31	8	-107	646
32	0	0	397
33	-107	93	2371
34	72	-113	1094
35	0	0	646
36	0	-40	614
37	-131	98	1260
38	0	0	266
39	-136	117	1227
40	-75	49	2486
41	0	0	232
42	0	69	762
43	-155	148	1277
44	0	0	348
45	-4	159	1309
46	0	0	215
47	-50	0	613
48	-108	158	2603
49	-58	51	2703
50	0	0	365
51	0	0	398
52	-149	152	1608
53	0	0	232
54	0	0	199
55	0	0	348
56	-6	95	1177
57	0	0	298
58	0	0	580
59	-12	36	1641
60	0	0	199
61	0	0	448
62	-101	137	1791
63	0	0	497
64	4	35	1028
65	0	0	282
66	-198	201	1559
67	0	0	464
68	0	0	580
69	0	0	364
70	-59	55	779
71	-219	207	1890
72	-1	0	663
73	-139	146	1741
74	0	0	779
75	-125	127	2122
76	-93	183	1194
77	29	4	1459
78	-1	27	1294
79	0	0	414
80	-131	146	1525
