Trial	x	y	RT
1	-92	93	1575
2	9	-97	1442
3	-161	104	2918
4	44	-2	3067
5	-50	47	3266
6	0	0	779
7	-1	3	2055
8	-139	101	1807
9	-49	-2	1194
10	-44	58	1558
11	-48	-52	2238
12	-98	94	2172
13	-143	151	1807
14	0	0	713
15	-100	46	2736
16	-42	1	1210
17	59	-51	2221
18	7	-47	1028
19	90	-4	2818
20	-105	108	2802
21	10	-52	2487
22	-159	100	2006
23	-112	98	1956
24	5	-112	2868
25	59	-4	2388
26	-54	-7	1741
27	103	0	1840
28	107	3	1293
29	-143	105	2835
30	0	0	1840
31	61	-5	2271
32	1	2	1492
33	-151	148	1377
34	56	44	3714
35	159	4	1244
36	113	-58	1508
37	-115	2	1907
38	107	0	1177
39	-38	4	1442
40	1	54	2188
41	61	-3	1078
42	149	97	1558
43	-106	36	2554
44	3	-9	1558
45	-63	41	2420
46	61	56	2073
47	54	-50	3166
48	-97	-3	1940
49	-98	50	1326
50	0	0	1409
51	-59	0	945
52	-113	93	2238
53	98	-5	1956
54	57	50	1360
55	0	0	1658
56	-82	89	2835
57	0	-152	1459
58	113	50	1973
59	9	-54	2255
60	105	-143	1508
