Trial	x	y	RT
1	-156	54	3282
2	3	-100	2420
3	-57	50	3150
4	-3	-108	2039
5	-102	22	4029
6	0	0	1260
7	4	-98	1724
8	-59	155	1990
9	-56	44	2504
10	0	-1	763
11	-165	-1	3863
12	-98	0	1575
13	-53	96	3035
14	0	0	663
15	-61	-2	3068
16	-51	7	1227
17	58	-5	1310
18	0	0	796
19	3	-97	1741
20	-60	99	2819
21	3	-48	1592
22	-62	49	3183
23	-150	54	2636
24	6	-92	2172
25	7	-103	1260
26	0	2	779
27	0	1	1110
28	52	2	2321
29	-94	0	3034
30	-7	45	2487
31	2	-100	1890
32	6	4	1293
33	-196	12	1691
34	0	0	563
35	101	103	2570
36	0	0	779
37	-96	-4	2504
38	43	52	1210
39	-52	-4	1078
40	-50	-5	995
41	-47	50	1624
42	-147	97	3116
43	-48	-6	1061
44	-1	-103	1923
45	-47	2	2123
46	0	0	729
47	-48	0	1608
48	-54	3	2520
49	-89	53	3797
50	4	-5	729
51	-100	51	2802
52	-98	51	4029
53	0	0	713
54	92	46	2537
55	0	-41	912
56	-58	48	1691
57	0	0	547
58	49	0	1956
59	-60	47	2951
60	47	51	2404
61	0	0	813
62	-152	104	2753
63	0	0	447
64	-52	46	1973
65	0	0	647
66	-143	49	2918
67	0	0	564
68	10	-40	1160
69	146	105	3365
70	-106	54	2935
71	-105	0	1459
72	96	51	2487
73	-135	59	2172
74	0	0	712
75	-163	152	1724
76	-48	1	1857
77	0	0	680
78	-108	102	1774
79	2	-48	1343
80	-105	1	2039
