Trial	x	y	RT
1	7	196	1658
2	111	-2	2785
3	-205	-8	2222
4	11	-54	3332
5	-96	-7	2238
6	-10	-150	2851
7	3	-212	1758
8	4	194	1591
9	-93	6	1758
10	99	-3	1376
11	-137	1	1475
12	-26	106	2736
13	-4	98	1724
14	54	-12	2354
15	2	144	2189
16	-74	-5	2387
17	99	-3	1277
18	95	-3	1426
19	50	-14	1624
20	-5	142	1625
21	-5	-52	1757
22	0	102	1758
23	8	144	2702
24	-1	-108	1907
25	2	-157	1641
26	-154	-5	2337
27	153	10	1293
28	50	3	1443
29	-2	148	2205
30	0	196	2072
31	-4	-149	2288
32	2	-44	1674
33	12	100	1741
34	103	0	2255
35	143	-1	1492
36	-2	-99	1376
37	-100	2	2487
38	95	5	1475
39	-53	5	2305
40	-100	0	1410
41	4	-97	1144
42	-51	1	1078
43	-89	-1	1840
44	5	-50	2056
45	7	106	1873
46	-7	-94	2023
47	-5	113	2039
48	-150	-1	2603
49	10	146	1392
50	52	-1	1940
51	2	46	1774
52	-144	1	2155
53	0	-98	1011
54	44	5	1260
55	5	-41	1774
56	-43	4	2155
57	3	-44	1625
58	42	2	1226
59	6	90	1177
60	1	-86	1078
61	1	-95	1691
62	12	147	1873
63	3	-102	879
64	2	50	1989
65	-1	-99	1674
66	0	92	1492
67	-10	-91	1177
68	-4	-97	1923
69	107	2	1012
70	-143	5	1045
71	-2	150	1575
72	95	-12	1260
73	-98	-3	1724
74	96	-8	1575
75	5	149	1525
76	-56	2	1940
77	-4	-49	1509
78	-98	-1	1077
79	-5	-49	1293
80	0	81	1559
