Trial	x	y	RT
1	-1	50	3896
2	-97	-5	4228
3	15	-101	4675
4	4	-47	5438
5	6	-98	6930
6	56	-54	5123
7	52	-56	4791
8	6	100	3664
9	8	-104	2769
10	-52	50	7593
11	5	-104	4211
12	4	-103	6483
13	6	-148	4311
14	14	-55	3083
15	8	-105	3681
16	10	-102	3764
17	0	-153	4344
18	58	-45	4410
19	-47	-103	5322
20	0	-90	3415
21	0	-154	4875
22	-46	-147	5289
23	-150	45	5720
24	5	-203	3630
25	137	-51	6399
26	61	-149	4924
27	4	-158	5206
28	58	-147	4957
29	-52	-100	5073
30	-92	-51	6300
31	-2	-142	3365
32	-101	-101	6317
33	-155	-57	3829
34	7	-112	4791
35	112	-110	7046
36	4	-154	2752
37	5	-112	2156
38	6	-148	4592
39	2	-98	2785
40	4	-98	5123
41	1	-147	4460
42	-43	-109	5985
43	4	-55	2619
44	7	-155	3630
45	8	-101	3101
46	13	-152	2967
47	4	-107	2504
48	-3	-114	3034
49	-154	54	5853
50	-5	-123	4676
51	-9	-163	1956
52	-157	-52	4576
53	9	-105	2138
54	-2	-146	2106
55	-1	-154	2669
56	-6	-107	2536
57	11	-177	3084
58	4	-140	2835
59	-55	-103	4045
60	2	-158	2719
