Trial	x	y	RT
1	-86	-95	2006
2	47	-100	2023
3	-107	-94	1940
4	1	-3	2702
5	-106	-47	2073
6	1	0	2371
7	3	-7	2819
8	-92	52	2553
9	10	-49	2305
10	0	0	829
11	-1	-50	2437
12	-40	58	1409
13	-54	-7	2006
14	-2	-58	2239
15	-47	56	2122
16	-2	33	2022
17	75	48	1343
18	51	47	1625
19	54	3	1973
20	-74	53	2288
21	-45	-23	2437
22	-56	38	2587
23	-149	100	1989
24	4	-98	2039
25	8	-87	1260
26	-19	112	1890
27	11	-35	2288
28	-21	-48	2354
29	-145	117	1956
30	-121	65	1028
31	-29	-57	2603
32	-51	-68	3051
33	-139	115	1724
34	-4	-54	2205
35	68	1	1442
36	-1	-47	2984
37	-123	41	2371
38	106	6	2238
39	-55	-7	2072
40	-68	30	1609
41	45	-32	2156
42	47	18	2221
43	-82	19	2569
44	13	-65	2105
45	-104	49	2536
46	68	-13	2420
47	18	-45	2404
48	-45	-36	2935
49	-89	32	1442
50	-3	-8	1923
51	-28	-26	2636
52	-93	27	2156
53	7	-46	3233
54	-71	-21	1791
55	-31	-17	2272
56	-82	35	2205
57	-26	-70	4029
58	24	-24	1476
59	32	-19	2586
60	12	-32	1525
61	-15	-38	1956
62	-125	108	1508
63	-6	-60	1012
64	-41	40	647
65	-28	-25	1973
66	-117	47	1575
67	28	5	1442
68	-42	-10	1476
69	39	-6	846
70	-99	55	1260
71	-119	54	2089
72	49	19	1791
73	-131	116	2105
74	45	-20	2968
75	-156	132	1957
76	-116	39	2056
77	-17	-24	2636
78	-86	28	945
79	37	-49	846
80	-118	61	2653
