Trial	x	y	RT
1	-51	-128	2802
2	-2	-200	1973
3	-128	1	2470
4	102	-52	2188
5	-101	22	2686
6	124	-152	2918
7	7	-208	1923
8	-76	-199	2835
9	-60	-119	1823
10	10	-139	3216
11	-101	-191	2868
12	-136	-64	3017
13	-3	-197	2702
14	99	-204	2055
15	-136	-113	3017
16	-55	-32	1841
17	137	-44	3067
18	3	-203	2254
19	-23	-197	1856
20	-81	-148	2139
21	-31	-162	2304
22	-145	-10	2404
23	-43	-189	2835
24	121	-128	2736
25	-1	-207	2139
26	-121	51	2371
27	129	-57	2769
28	9	-176	1724
29	-54	-160	2702
30	-45	-193	2089
31	-4	-153	2370
32	53	-166	1542
33	-21	-198	2537
34	135	53	1393
35	35	-196	2023
36	-1	-4	2321
37	-45	-57	2305
38	53	-207	1774
39	-121	-177	2570
40	-34	-167	3100
41	53	-195	1426
42	-40	-201	2388
43	-120	-4	2470
44	50	-180	2338
45	-105	-124	2404
46	57	-200	2006
47	-2	-205	2222
48	-181	-34	2636
49	-78	-205	2603
50	2	-203	2503
51	10	-198	1940
52	-177	-21	2786
53	123	-71	2901
54	54	-201	1509
55	41	-148	2371
56	-108	36	2719
57	117	29	2802
58	67	-185	2022
59	-61	-203	2851
60	1	-197	1939
61	-9	-199	2570
62	-1	0	3416
63	1	-205	1226
64	-60	-195	2387
65	142	-51	3216
66	-155	-41	1294
67	70	-203	2852
68	-111	-122	3897
69	-16	-204	3714
70	-86	-198	2719
71	-169	93	2752
72	72	-198	2371
73	-157	-42	2454
74	134	-45	3315
75	-167	-140	3581
76	-134	-49	4029
77	141	-12	2735
78	-25	-178	3150
79	-42	-191	3697
80	-164	31	3266
