Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0011            1        1242.1357      1240.6867
T_0011            2         318.6291      1004.4087
T_0011            3        1498.0220      2142.5490
T_0011            4         129.2998       955.7089
T_0011            5         231.1805       832.1907
T_0011            6         217.0870       646.2698
T_0011            7          25.3617       688.8520
T_0011            8         395.2742      1205.6729
T_0011            9         515.7114      1266.9159
T_0011           10          -9.2879       399.8631
T_0011           11         720.7746      1252.3800
T_0011           12        1409.9512      1417.3100
T_0011           13          21.1217       194.8281
T_0011           14         162.7028       103.9811
T_0011           15         813.3011      1957.4467
T_0011           16         149.6238      1305.1036
T_0011           17         706.1233       757.5393
T_0011           18          -3.2681       260.4750
T_0011           19         660.9986      1057.4845
T_0011           20         883.2081      2509.8262
T_0011           21         849.3693      -194.7878
T_0011           22         812.9864       566.3811
T_0011           23         810.2219      1021.4335
T_0011           24        -365.3908      -480.2344
T_0011           25         642.4386       872.4060
T_0011           26        1951.1039      1665.5443
T_0011           27        1779.6550      1541.9310
T_0011           28         618.9140       494.9505
T_0011           29        1857.7587      1121.3419
T_0011           30         968.0374      1476.4157
T_0011           31          60.0973       417.7497
T_0011           32         455.6661      1130.7285
T_0011           33        1658.8734      1963.9002
T_0011           34         307.1064       849.2436
T_0011           35         147.6103       -99.9139
T_0011           36         -85.9529      -328.4860
T_0011           37         561.7334       987.5696
T_0011           38        -529.7474      -211.8814
T_0011           39        2972.4811      3197.9258
T_0011           40         919.8540      1126.8515
T_0011           41         791.7657       546.4816
T_0011           42        1100.9620      1751.5351
T_0011           43         559.7436      1758.7666
T_0011           44         102.5497      -499.9577
T_0011           45         473.1580       439.4947
T_0011           46        -175.6179      -291.4205
T_0011           47        1394.3525      1204.4260
T_0011           48        1085.9822      2188.9200
T_0011           49        1080.7913      3703.2681
T_0011           50          58.7920       233.9496
T_0011           51         975.9206      2788.3451
T_0011           52        -270.7208      -790.3527
T_0011           53         840.7128      2059.3950
T_0011           54         423.1279      1000.3476
T_0011           55         624.9859       933.2414
T_0011           56         158.4609      1085.0143
T_0011           57         799.8981      2002.0398
T_0011           58        -197.8513       163.4502
T_0011           59         330.7870       789.5744
T_0011           60         916.0979      1296.1617
T_0011           61          18.0756       -71.7868
T_0011           62         567.6183      1850.2385
T_0011           63         532.3969      1011.6551
T_0011           64         866.3538      2271.3376
T_0011           65         694.8256      1717.7401
T_0011           66        1196.1726      1193.4271
T_0011           67         252.2510       714.2458
T_0011           68         610.1570      1729.9685
T_0011           69        -433.2375      -301.7232
T_0011           70        1287.6579      2375.1329
T_0011           71        2638.3157      2604.1123
T_0011           72       -2433.4252      -249.4535
T_0011           73         265.9832       385.4547
T_0011           74         540.9152       527.1162
T_0011           75        1103.2193      2228.6368
T_0011           76         681.4814       809.9607
T_0011           77         404.1469       727.8473
T_0011           78          75.3702       -38.5935
T_0011           79        1697.4551      2137.8274
T_0011           80         829.1511      3556.0159
