Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0060            1        1081.9809       489.2893
T_0060            2         113.0170       -59.1249
T_0060            3         814.6979       100.1399
T_0060            4         687.1196       192.5802
T_0060            5        1109.3250       311.0421
T_0060            6         803.8144      2120.3133
T_0060            7         336.2692       452.2846
T_0060            8         535.5229       170.4805
T_0060            9         804.8283       154.3608
T_0060           10       -1639.7836     -1512.0444
T_0060           11         183.4620       -11.5221
T_0060           12         948.6288       -27.0388
T_0060           13         -14.3405      -141.9166
T_0060           14        -686.1345      -243.9744
T_0060           15         927.2334       340.2919
T_0060           16        -645.7736      -571.3518
T_0060           17         389.9223       177.5594
T_0060           18         866.9451       124.8452
T_0060           19        -698.7987      -322.3811
T_0060           20         883.6243       965.5108
T_0060           21        1113.8971      1635.2743
T_0060           22          45.0849      -367.6719
T_0060           23        -770.1913     -1183.0090
T_0060           24         636.5766       184.7208
T_0060           25       -1415.2732     -1469.7051
T_0060           26        1947.5842      2840.0919
T_0060           27         -92.4185         0.9756
T_0060           28        -352.3607      -371.0415
T_0060           29         302.1356      1510.0540
T_0060           30        1262.0689       923.9832
T_0060           31       -1594.5177     -1183.1819
T_0060           32        -997.6162      -212.7527
T_0060           33          73.7089       298.5907
T_0060           34         167.7561       -96.7238
T_0060           35          96.9107      -984.4934
T_0060           36       -1715.5852     -2503.0813
T_0060           37         662.3116       384.5482
T_0060           38         186.9509     -2314.5187
T_0060           39         647.9450       232.5533
T_0060           40         255.0403       298.6104
T_0060           41         114.5139       570.1258
T_0060           42         758.3057      2247.3435
T_0060           43        2875.5997      1279.4363
T_0060           44        -708.3497      -298.2239
T_0060           45        1370.3039      1570.8926
T_0060           46         500.8166        51.7409
T_0060           47        2562.1831       996.1384
T_0060           48         299.1006       725.9082
T_0060           49         177.9082       686.9340
T_0060           50        -838.7563      -669.4362
T_0060           51        -108.2265      -143.8870
T_0060           52         306.0605      -684.5862
T_0060           53         767.3417       564.4554
T_0060           54         155.3206        37.7021
T_0060           55        -231.3574      -269.5588
T_0060           56        -250.9481       -13.1212
T_0060           57         -89.6736        47.7687
T_0060           58        -603.0779      -198.1580
T_0060           59        -616.7472      -424.5525
T_0060           60       -2569.3011     -1943.1531
T_0060           61        -739.8754      -127.8960
T_0060           62        2273.9584      2748.0351
T_0060           63         836.8298      1341.8451
T_0060           64       -1192.3200      -201.4170
T_0060           65         522.5594       -36.1462
T_0060           66        -571.0083      -481.8798
T_0060           67         -33.0140      -523.8079
T_0060           68         215.5371       529.4230
T_0060           69       -4602.9050     -6159.8242
T_0060           70        1005.7671      1791.9614
T_0060           71         851.6157        49.0388
T_0060           72       -4100.9938     -5455.4344
T_0060           73        2287.3257      3738.7301
T_0060           74         263.6669       275.0464
T_0060           75         268.6014      1198.3892
T_0060           76        2156.8093      1956.8042
T_0060           77        1807.4328      1958.5019
T_0060           78        -450.3658      -307.7639
T_0060           79        -118.3830      1631.5276
T_0060           80         948.6832       972.2318
