Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
P_0010            1        -571.5686         2.5560
P_0010            2        -117.6800      -113.9246
P_0010            3        1228.7363      3237.3516
P_0010            4        -553.3611      -995.2641
P_0010            5         224.7031        24.2813
P_0010            6        -590.5896      -929.4855
P_0010            7         207.4914      1249.5818
P_0010            8        -726.5001      -476.4080
P_0010            9        -480.7803      -628.0603
P_0010           10       -1448.9828     -2699.4043
P_0010           11        2440.0867      5330.6040
P_0010           12        -706.1797     -1550.8589
P_0010           13        -641.2341     -1352.9631
P_0010           14        -266.1480       642.7280
P_0010           15         473.6000       750.6100
P_0010           16           4.4685       595.3194
P_0010           17        -182.1681       267.0843
P_0010           18        -300.9850        -3.8212
P_0010           19        -187.3751       479.8005
P_0010           20         714.9416       980.9999
P_0010           21        -115.9297      -414.4179
P_0010           22        9984.0094      9441.5315
P_0010           23        4796.8642      6162.0611
P_0010           24       -2056.5055     -3238.3438
P_0010           25        -910.2692     -1458.5122
P_0010           26         903.3662      2600.8465
P_0010           27        -862.9155      -656.9665
P_0010           28           1.9822       332.5890
P_0010           29        -150.7264       600.9406
P_0010           30        -358.3656     -1164.4226
P_0010           31        -450.8753        64.2328
P_0010           32         -40.7426       187.1279
P_0010           33         205.2166      1687.7317
P_0010           34       -1867.4217     -2963.2288
P_0010           35         289.2537       267.0604
P_0010           36        -232.8146       313.6170
P_0010           37        2095.3697      2468.5337
P_0010           38          33.5266        71.6967
P_0010           39        -234.4385      1398.9735
P_0010           40           7.4517       869.2042
P_0010           41        -233.3853       754.0783
P_0010           42        2793.4720      4395.4750
P_0010           43        1965.5281      1760.9754
P_0010           44        -892.9101      -283.9666
P_0010           45         524.3771       990.6220
P_0010           46          88.9390      -465.6423
P_0010           47        1444.0381      2036.8093
P_0010           48         354.2088      1230.8275
P_0010           49         691.3398      1312.5925
P_0010           50        -942.4273      -154.6872
P_0010           51         252.5026       906.0987
P_0010           52        1035.1401       597.0988
P_0010           53       -1125.1732      -834.6039
P_0010           54        -882.6819      -181.1037
P_0010           55        -529.4407      -432.7986
P_0010           56         780.4082      1695.0218
P_0010           57        -182.6003      -244.2252
P_0010           58        -378.3065      -407.6784
P_0010           59         123.9741        57.9605
P_0010           60        -257.1580      -212.4506
