Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0041            1         -54.3438       -36.1660
T_0041            2        -752.0449     -1802.0983
T_0041            3         109.6460       265.8361
T_0041            4        -348.2995      -729.6893
T_0041            5         257.7925       177.5068
T_0041            6       -1622.5777     -2612.6515
T_0041            7        -925.7148     -1065.7018
T_0041            8        -369.6587      -640.2394
T_0041            9          37.9856      -107.2903
T_0041           10         -14.1488      -304.9842
T_0041           11        -331.8290      -173.4033
T_0041           12        -614.7546      -966.6505
T_0041           13       -1242.6726     -2148.5893
T_0041           14        -814.4313     -1086.2195
T_0041           15         335.1916        22.9910
T_0041           16        -335.7169      -838.1278
T_0041           17         311.6849       248.5051
T_0041           18        -432.2317      -994.0900
T_0041           19         107.3275       146.9303
T_0041           20         756.0077      1834.9815
T_0041           21          31.2837      -705.9235
T_0041           22        -503.3510      -227.2795
T_0041           23         373.4348      -674.5953
T_0041           24        -265.1921      -398.4790
T_0041           25         -96.3251       -66.6817
T_0041           26        -474.9997     -1525.5104
T_0041           27        -276.1680      -952.0713
T_0041           28        -687.7037     -1265.7708
T_0041           29         -87.8083       304.4920
T_0041           30         713.3950       942.7021
T_0041           31        -562.1814     -1975.7590
T_0041           32        -958.1683     -2307.9180
T_0041           33         856.1375      1861.3138
T_0041           34        -126.6573      -720.5096
T_0041           35        1590.9997      2054.1761
T_0041           36        -324.9032     -1421.6534
T_0041           37         -10.4299      -430.7488
T_0041           38       -1033.5254     -1744.9306
T_0041           39       -1007.1215     -1244.9061
T_0041           40         669.8560       955.4363
T_0041           41        -420.4556      -993.0310
T_0041           42          21.1652       107.2062
T_0041           43         128.3857        32.8801
T_0041           44        -579.2248     -1094.5385
T_0041           45         387.1895       211.5296
T_0041           46          36.3619       -78.7565
T_0041           47         125.3952       858.2252
T_0041           48        -104.0032      -408.0623
T_0041           49          47.4431       811.6738
T_0041           50        -215.2651      -740.8836
T_0041           51          87.3583        -3.7314
T_0041           52        -215.6736        31.7720
T_0041           53          39.6186      -223.3594
T_0041           54         -74.2720      -276.9234
T_0041           55       -1811.6096     -3201.3503
T_0041           56         -45.9987      -330.8863
T_0041           57         196.9959      -719.6572
T_0041           58        -495.8866      -732.2935
T_0041           59        -120.9564       164.8256
T_0041           60        -510.4979      -999.5545
T_0041           61         352.3435       325.1575
T_0041           62         504.0239       415.5294
T_0041           63          74.0671      -271.4476
T_0041           64       -1452.8078     -3290.9833
T_0041           65          60.4598       353.4486
T_0041           66        -173.2476        12.5883
T_0041           67        -421.1676      -898.1424
T_0041           68         -80.6739       230.6487
T_0041           69        1144.3393      2074.2315
T_0041           70         202.5805       238.3565
T_0041           71        -352.9269      -681.2389
T_0041           72       -1287.4717     -1441.2254
T_0041           73         271.1908      -433.1198
T_0041           74         141.6874       -63.6648
T_0041           75        -140.4549      -121.4703
T_0041           76         -96.5254      -553.1680
T_0041           77         365.7305       203.0512
T_0041           78        -697.2078     -1705.4930
T_0041           79         213.3236       290.4230
T_0041           80         706.8879      1545.9623
