Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0185            1         -61.0314        71.8956
T_0185            2         -48.1410        -3.6413
T_0185            3         696.2964       805.8571
T_0185            4          48.4461        79.1378
T_0185            5          94.8814       255.0573
T_0185            6        -205.4681      -925.0258
T_0185            7        -127.0966      -247.8155
T_0185            8         269.3324       683.9398
T_0185            9         252.2018       175.7817
T_0185           10        -179.8372      -226.5640
T_0185           11          64.1975       -51.8323
T_0185           12         154.7909       452.8212
T_0185           13        -328.9551      -461.6165
T_0185           14        1053.7474       813.0952
T_0185           15         311.8978       508.8698
T_0185           16         159.8701       585.3880
T_0185           17         589.9110       588.0489
T_0185           18        -117.2096        58.7240
T_0185           19         -18.5406       -65.2149
T_0185           20       -2708.3707     -2488.0370
T_0185           21        -387.6013      -391.7505
T_0185           22        1001.5417      2288.1307
T_0185           23         -66.6596      -737.5210
T_0185           24        -118.8294      -164.4983
T_0185           25         208.9543       236.5014
T_0185           26         975.6817      1282.0981
T_0185           27        -184.7212        97.3691
T_0185           28        -133.6528       353.7788
T_0185           29       -4596.6887     -4454.3656
T_0185           30          40.8545        77.4848
T_0185           31          41.3147        94.3442
T_0185           32         306.6539       348.8910
T_0185           33         306.6736       880.2031
T_0185           34        -225.4834      -563.9100
T_0185           35        -523.2998      -457.5256
T_0185           36         221.8001       144.8335
T_0185           37         472.7497      1273.4443
T_0185           38        -333.9062       -97.6790
T_0185           39         323.9881      1268.5767
T_0185           40        -256.3235      -317.0599
T_0185           41         -81.4714        -4.3603
T_0185           42       -2342.2467     -2591.9395
T_0185           43         718.7885      1181.3186
T_0185           44          -8.0554      -620.5495
T_0185           45         999.0812       896.3165
T_0185           46         178.4931        -1.7936
T_0185           47         246.7440       123.7202
T_0185           48        -104.2142       160.4604
T_0185           49          36.0658       523.5361
T_0185           50          65.7226       -54.4044
T_0185           51       -1688.1006     -1691.3770
T_0185           52       -2561.1614     -1370.9578
T_0185           53        -338.3726     -1106.7702
T_0185           54          83.5678      -173.6379
T_0185           55        -115.9866      -502.7974
T_0185           56           2.3092      -411.2280
T_0185           57        -195.5308      -953.4981
T_0185           58         397.9851       251.6209
T_0185           59          61.9913       -56.9383
T_0185           60        -209.6377       -41.4429
T_0185           61         381.3076      1212.7418
T_0185           62         -12.1583         1.3140
T_0185           63          -5.9057      -182.5333
T_0185           64       -4321.8199     -3645.0553
T_0185           65        -599.3110     -1373.2815
T_0185           66        1471.0399      2144.7043
T_0185           67        -717.7416     -1432.2432
T_0185           68         113.1101      -473.4952
T_0185           69          65.0327      -178.8168
T_0185           70         180.6165       429.9846
T_0185           71         969.2258      1565.7279
T_0185           72       -1270.2502     -3394.2041
T_0185           73         799.4816      1393.9539
T_0185           74        -821.9642     -1893.8831
T_0185           75       -4064.6320     -2640.2089
T_0185           76         208.1444       513.5913
T_0185           77       -2480.8161     -2799.0998
T_0185           78        -172.4006      -511.4100
T_0185           79         141.0984        77.1535
T_0185           80         289.0022       926.3222
