Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
P_0005            1         165.7061       620.7949
P_0005            2         327.8399       551.2516
P_0005            3       -1014.6580      -376.8573
P_0005            4         193.0681      -392.8198
P_0005            5        -450.6623       143.7256
P_0005            6         243.4338      -592.9964
P_0005            7        -385.3451      -807.3043
P_0005            8        -242.6228      -785.1989
P_0005            9        -797.5843      -161.5818
P_0005           10         -38.7380       368.6591
P_0005           11        -309.0672      -495.0045
P_0005           12        -201.4836      -367.4929
P_0005           13        -492.9070     -1286.8881
P_0005           14         226.5209        45.8723
P_0005           15        -537.0713      -108.1936
P_0005           16         466.2517      -276.9955
P_0005           17          52.8285      -862.0378
P_0005           18         350.4804      -680.6199
P_0005           19        1532.1585       756.0161
P_0005           20        -430.1938      1023.2442
P_0005           21         407.2004      -696.2474
P_0005           22         224.3322        28.5520
P_0005           23         326.8394       598.6429
P_0005           24         554.8817      -188.4433
P_0005           25         103.8393     -1210.5496
P_0005           26        -719.2044       498.7363
P_0005           27        1902.4286      1365.7823
P_0005           28       -2545.6752     -1736.3437
P_0005           29        -574.9750      -553.7645
P_0005           30        -105.2812      -366.2896
P_0005           31       -1417.3110      -556.1322
P_0005           32         111.6386        69.4607
P_0005           33         -92.9735        37.8783
P_0005           34         260.4326        93.7301
P_0005           35        -234.8950      -115.0474
P_0005           36         465.4139       359.0024
P_0005           37        -516.9584        21.5515
P_0005           38        -370.7051       -69.7370
P_0005           39        -170.8964      -247.2692
P_0005           40         225.8614      1026.6603
P_0005           41         939.2673       721.9850
P_0005           42         -81.4098       595.4271
P_0005           43         842.3581      1259.1659
P_0005           44         -94.1855      -181.5394
P_0005           45        -126.2294       193.3922
P_0005           46          91.1478       252.6453
P_0005           47        -526.6044      -195.5965
P_0005           48         141.2038        53.2349
P_0005           49         506.2275       103.5993
P_0005           50        -211.8284      -348.0673
P_0005           51          99.7127       -41.1144
P_0005           52        -497.9820      -473.1767
P_0005           53          36.5362      -426.5061
P_0005           54           9.1633       -95.5086
P_0005           55        -587.0206      -300.4206
P_0005           56        -275.2717      -337.2492
P_0005           57        -547.8340      -583.4185
P_0005           58        -845.7009     -1389.3951
P_0005           59         656.2781       406.4376
P_0005           60         497.8651       134.5466
