Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0073            1          -7.0905      2002.3317
T_0073            2       -1828.2777     -3911.9100
T_0073            3           6.4846       173.2251
T_0073            4        2947.4297      5234.7155
T_0073            5        -357.4743      -776.0931
T_0073            6         157.6389       -39.2030
T_0073            7       -3013.6361     -3255.4697
T_0073            8       -4678.2661     -1322.8306
T_0073            9         931.2119       -42.4127
T_0073           10       -3539.7260     -3455.9417
T_0073           11          62.9600       707.5213
T_0073           12        -234.6385      1211.4726
T_0073           13       -1364.6976     -2207.7733
T_0073           14        -641.2537      -770.8892
T_0073           15          41.6746      -475.4659
T_0073           16         421.1484       384.8767
T_0073           17        -158.9517       756.1293
T_0073           18       -1747.1898     -2227.8486
T_0073           19        -888.8125       156.1509
T_0073           20        -251.3686     -2755.1662
T_0073           21        -866.0726       190.6177
T_0073           22        1356.6280      5509.4360
T_0073           23        -491.6642     -1003.8851
T_0073           24       -4331.7667     -7862.0034
T_0073           25         -31.7985       805.7027
T_0073           26         724.5573      -261.8116
T_0073           27       -4710.0108     -4970.7607
T_0073           28        3472.5217      6468.6199
T_0073           29         960.2272      1412.3419
T_0073           30         589.5817      -820.8879
T_0073           31         -97.0762       630.3960
T_0073           32          63.0918       739.7285
T_0073           33       -1491.1745      -998.4474
T_0073           34       -1933.2615     -2550.2272
T_0073           35        -128.9046     -1457.2234
T_0073           36        2826.6897      3349.9065
T_0073           37       -1607.3236       -79.0625
T_0073           38       -5456.7965     -4948.5235
T_0073           39         -19.4855      2146.2026
T_0073           40        2589.2255      1376.9493
T_0073           41         592.3315       527.6241
T_0073           42         799.5633      1153.9603
T_0073           43        -334.1117      -552.4447
T_0073           44       -3787.1891     -7159.2373
T_0073           45         885.2750      2190.3517
T_0073           46        -978.0869      -877.8317
T_0073           47        1189.5079       881.8970
T_0073           48        -198.7092       378.8730
T_0073           49        1940.8645      2568.0131
T_0073           50       -1483.9777     -1156.7891
T_0073           51        1639.0500      1517.1316
T_0073           52         435.1875        54.6380
T_0073           53         461.1196       823.0084
T_0073           54        2021.3999       877.5848
T_0073           55       -1388.4050     -2787.3195
T_0073           56        2525.7299      2640.7149
T_0073           57         957.4210     -1044.1115
T_0073           58        -335.2049      -379.4994
T_0073           59       -1840.7419     -2228.0465
T_0073           60       -3871.5478     -4109.0541
T_0073           61       -2825.2368     -4442.1730
T_0073           62        1937.8531      2598.6515
T_0073           63        -482.6792      -607.3876
T_0073           64          -5.6629      -838.6552
T_0073           65        2871.5535      3121.7494
T_0073           66        -425.2869     -1591.3708
T_0073           67         212.6483     -1313.0541
T_0073           68       -1551.7082     -2440.5764
T_0073           69        1219.3337       998.4245
T_0073           70       -2378.5078     -2723.8540
T_0073           71       -2378.8520      1859.5541
T_0073           72        1111.1534      1215.8630
T_0073           73         997.3390      2244.2079
T_0073           74        -215.4011      -267.2354
T_0073           75        1343.7577       634.5115
T_0073           76        1363.4537      4982.9443
T_0073           77       -1141.3546     -1093.4478
T_0073           78         198.8648      -399.6458
T_0073           79       -1293.4562     -1335.0298
T_0073           80        1763.1856      2349.0066
