Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
P_0004            1         647.7072      -128.2545
P_0004            2        -168.2584       -65.5492
P_0004            3        -977.2356      -562.0239
P_0004            4        2380.0061      1287.0380
P_0004            5        2089.2685      1429.2480
P_0004            6        1338.8682      1128.7020
P_0004            7        -946.3989      -676.2435
P_0004            8        -582.1159        55.6900
P_0004            9        2868.3696       978.5602
P_0004           10        2144.1547      1124.9391
P_0004           11        2251.7428      2317.0231
P_0004           12         -21.8402       423.9055
P_0004           13         129.4362       722.7806
P_0004           14         946.0186     -1073.4992
P_0004           15        1304.1192       538.8541
P_0004           16         454.7893       221.5978
P_0004           17        1297.4985       605.8795
P_0004           18         868.2410       210.5734
P_0004           19        2806.9341      1865.1948
P_0004           20        3286.9291      2410.8409
P_0004           21        -606.6211       434.5508
P_0004           22        -997.3221     -1043.4138
P_0004           23        1650.6152       925.3100
P_0004           24        -244.9372      -404.4404
P_0004           25         642.1465       245.1169
P_0004           26        1347.9687       195.1588
P_0004           27       -6067.9329     -3148.8717
P_0004           28        2902.5619      1434.3696
P_0004           29        1034.3743       681.8559
P_0004           30        1974.8796      1781.5927
P_0004           31        -106.7651       -94.8962
P_0004           32          98.6757       362.6101
P_0004           33        1581.3668       312.1148
P_0004           34          89.9373      -411.3591
P_0004           35        -773.0335     -5023.0542
P_0004           36          10.8150       484.6272
P_0004           37          85.7290       542.5050
P_0004           38         471.7045       404.1292
P_0004           39        3061.8523      2392.1073
P_0004           40       -1139.0405      -167.4097
P_0004           41        -941.4437      -202.1627
P_0004           42        2211.8404      2374.1895
P_0004           43        1118.8837       654.2360
P_0004           44        1542.5879      -378.8691
P_0004           45        1651.6250       687.9402
P_0004           46        2706.2494       792.7502
P_0004           47        -513.5300      1531.0167
P_0004           48        3980.3771      1879.5583
P_0004           49        -290.9938       822.3410
P_0004           50        1351.3268       752.7319
P_0004           51        2272.2072      2653.5291
P_0004           52        1082.7985      1457.3907
P_0004           53        1685.9794       823.5643
P_0004           54        1932.1588      1698.2649
P_0004           55        -314.3348      -272.0271
P_0004           56        1567.0014       771.7313
P_0004           57        -350.2984      -843.9864
P_0004           58         730.8898       655.5480
P_0004           59        7427.6085      3838.2696
P_0004           60        1754.7593       557.0505
