Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0132            1        -186.4093        -7.7235
T_0132            2         250.4908      -349.8230
T_0132            3        1412.0881       830.8686
T_0132            4        -829.8642      -301.1526
T_0132            5         251.0880      -264.0421
T_0132            6       -1749.2763      -657.4540
T_0132            7       -1278.0450      -794.5427
T_0132            8         894.6871       937.0279
T_0132            9         165.8383       154.7084
T_0132           10         902.6934      2250.1625
T_0132           11        3196.5887      4385.5767
T_0132           12        1124.7999      1076.6031
T_0132           13        1065.7719      -467.7391
T_0132           14         810.4169       -14.4810
T_0132           15         733.1341       140.3470
T_0132           16        -736.8610        98.8193
T_0132           17        1012.0146       254.7304
T_0132           18         188.8971        37.7646
T_0132           19       -5209.9112      6092.8700
T_0132           20         634.4329        22.5176
T_0132           21         603.2792      -241.6356
T_0132           22        3349.3967      3246.6368
T_0132           23         763.7398       -77.5793
T_0132           24         -28.4458       106.1667
T_0132           25        1258.2497       -13.6576
T_0132           26        3724.3051      4737.2553
T_0132           27       -1265.5838      -256.7347
T_0132           28          26.0314       439.4693
T_0132           29          -9.8047       202.6098
T_0132           30        -920.8730      -750.9402
T_0132           31        -286.4134       -46.6554
T_0132           32         350.6039       544.3919
T_0132           33        -201.7718       363.0351
T_0132           34        -130.9770       783.1849
T_0132           35         195.4818       435.8229
T_0132           36       -2337.1593     -5214.5448
T_0132           37        -809.4050       249.7923
T_0132           38         769.3414       264.2872
T_0132           39        -677.7118      -375.4968
T_0132           40         -33.1108       226.5012
T_0132           41       -1148.3846        90.4777
T_0132           42       -1048.0696     -1272.1333
T_0132           43        -145.0089       399.9081
T_0132           44        -934.7733      -401.7756
T_0132           45        -680.5947       281.2345
T_0132           46       -1188.9381      -117.3687
T_0132           47        5545.2406      5356.7898
T_0132           48         280.0854       -61.0023
T_0132           49         103.5654        42.8589
T_0132           50         325.8383       382.2348
T_0132           51         831.5130       386.4374
T_0132           52         -10.3075       262.4144
T_0132           53        -918.0570      -549.8998
T_0132           54         265.8745       467.4700
T_0132           55          -5.9746      -163.5325
T_0132           56        -820.1296      -307.5203
T_0132           57        -283.3402       -99.9341
T_0132           58         460.6351       -41.7560
T_0132           59        -303.8967      -326.3777
T_0132           60         694.0730       338.8669
T_0132           61        2086.2414      1829.9524
T_0132           62         232.1419       504.0897
T_0132           63         202.5106       -73.3939
T_0132           64       -1474.4093     -1133.7842
T_0132           65          32.9482      -175.2961
T_0132           66        1199.5800       582.0739
T_0132           67         -15.5830       -89.7649
T_0132           68         362.7677       128.9160
T_0132           69         114.4222       187.5336
T_0132           70        -671.8576      -756.5836
T_0132           71        -776.8458       920.7750
T_0132           72        -109.6657     -1607.7512
T_0132           73        6258.3236      8047.5333
T_0132           74        -756.7783      -673.8224
T_0132           75        1219.8992       753.2144
T_0132           76         130.0307      -794.4711
T_0132           77        1312.7211       338.6560
T_0132           78         747.8252       418.3268
T_0132           79        -280.8310       249.7214
T_0132           80        1166.3009       838.3800
