Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
P_0006            1        2087.0900      1078.9880
P_0006            2         612.6970        94.4513
P_0006            3        2422.6182      1071.2119
P_0006            4        2182.1484       554.8040
P_0006            5        1061.5758      -102.7269
P_0006            6        -430.9243      -731.0739
P_0006            7        4681.1727      2607.3077
P_0006            8         450.0704        66.3495
P_0006            9        1680.0393       509.8234
P_0006           10        -312.4051      -665.6848
P_0006           11        2343.4828       992.2040
P_0006           12         728.3171      -382.2094
P_0006           13         606.8894       689.8567
P_0006           14        -307.2461      -635.7261
P_0006           15         467.7502      -709.3764
P_0006           16        -494.9642      -795.2772
P_0006           17        -387.3165      -311.7531
P_0006           18        1410.6282       490.4498
P_0006           19        1322.2996       576.2762
P_0006           20         226.4980       379.6137
P_0006           21        1261.3499        -9.7070
P_0006           22        1011.0677       710.8296
P_0006           23         681.2700        90.4573
P_0006           24         200.2379       159.8418
P_0006           25        -906.5700      -551.7860
P_0006           26        1428.6277       436.5708
P_0006           27       -1796.1393      -457.9213
P_0006           28        -685.5234     -1010.2706
P_0006           29         305.1125        67.9652
P_0006           30        3592.7472      1240.6589
P_0006           31        3813.8813      2638.6141
P_0006           32         214.7129       164.5538
P_0006           33        5278.2621      3377.2158
P_0006           34        -172.8818      -291.5394
P_0006           35          11.1196        12.3581
P_0006           36         603.8003       129.7614
P_0006           37        1073.5284       213.0798
P_0006           38       -1231.1372      -675.6289
P_0006           39          20.1599     -1189.6062
P_0006           40         -60.7328      -277.4697
P_0006           41        -971.2300      -502.5060
P_0006           42        1499.5033       250.2949
P_0006           43         304.8035       271.8387
P_0006           44       -1857.7372      -254.2251
P_0006           45        1614.1810       621.1935
P_0006           46       -1837.1108      -335.2933
P_0006           47        2675.2063      1009.3850
P_0006           48        -272.3782      -269.0331
P_0006           49        1263.4407       959.3212
P_0006           50         277.4164       193.9107
P_0006           51        -169.0163       -11.2948
P_0006           52         343.9528      1048.8025
P_0006           53         274.7673      -197.7024
P_0006           54        1443.7529       416.7482
P_0006           55         117.5578       115.8263
P_0006           56         995.8196      1405.1405
P_0006           57        1220.3158       895.1919
P_0006           58        -511.3938      -225.4435
P_0006           59        1003.1918       413.6815
P_0006           60        1322.4270      2037.8176
