Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
P_0003            1        -156.9624     -1043.7928
P_0003            2         926.0067       307.7118
P_0003            3         184.6146      1359.3435
P_0003            4          35.3687       183.4637
P_0003            5          52.1112        90.4203
P_0003            6         -25.2587      -421.6491
P_0003            7          77.8400       143.6733
P_0003            8         -25.2223        54.4528
P_0003            9         225.1589       187.8443
P_0003           10        -126.1202       431.6475
P_0003           11         639.5509      1163.4306
P_0003           12         273.9498       116.7777
P_0003           13        -128.8629       245.7489
P_0003           14         571.9105       136.0341
P_0003           15         241.3773       403.1375
P_0003           16        -105.8984      -360.8959
P_0003           17        -237.9943        60.0283
P_0003           18         159.7357       818.8831
P_0003           19         620.7888      2025.2024
P_0003           20         583.3952      1773.6898
P_0003           21         -64.3563        34.3427
P_0003           22         253.8382      -564.3323
P_0003           23         521.0567       137.9037
P_0003           24        -632.6269      -583.3512
P_0003           25          28.0620       301.4362
P_0003           26         759.0989      1448.9539
P_0003           27         340.7200       508.3260
P_0003           28         488.6566       984.5074
P_0003           29         506.7365       510.6017
P_0003           30         212.6980      1493.8542
P_0003           31         367.3014       302.6106
P_0003           32          13.3347       192.6817
P_0003           33         400.7509       616.5373
P_0003           34          72.7815       562.9405
P_0003           35         -84.0716      -293.0990
P_0003           36         -89.9284        -0.9195
P_0003           37         305.8420       328.3440
P_0003           38          95.3451       154.4534
P_0003           39        -120.3170     -1049.7309
P_0003           40         174.3411       102.4344
P_0003           41        1038.2537      1507.9069
P_0003           42          26.0699       131.9674
P_0003           43         346.6894       622.0121
P_0003           44        -120.0887        25.0748
P_0003           45        -101.2208      -500.0915
P_0003           46         368.9057       156.1931
P_0003           47         363.3502       561.3389
P_0003           48         458.6631       580.8992
P_0003           49          98.0258      1365.3540
P_0003           50        -179.9399      -114.7229
P_0003           51         -74.6748       554.6433
P_0003           52         525.4744       -74.7865
P_0003           53         566.7339      1483.2946
P_0003           54        -147.6891      -274.6789
P_0003           55         249.5891       432.3614
P_0003           56           8.6236      -357.3522
P_0003           57        -201.0044      -463.2022
P_0003           58         276.5392       378.4607
P_0003           59          80.7636      -513.1181
P_0003           60         117.9676       769.4568
