Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0071            1         899.4279       795.2167
T_0071            2        -644.4212        64.5413
T_0071            3         284.5945       127.6978
T_0071            4         -10.9157       235.1292
T_0071            5         168.2738       137.7261
T_0071            6        -153.9117       170.5828
T_0071            7        -245.7407        18.3084
T_0071            8       -1195.2474      -536.4162
T_0071            9         102.6880        26.3481
T_0071           10        -734.7022      -325.5353
T_0071           11         292.8936       379.9608
T_0071           12         305.3449       358.0191
T_0071           13          -2.8157        53.9860
T_0071           14        -337.4834       -29.7365
T_0071           15          54.7412       201.3263
T_0071           16         107.0990       250.4805
T_0071           17        -365.3890      -355.1014
T_0071           18        -479.2579      -222.4267
T_0071           19        -139.4743        71.2847
T_0071           20        -229.2368      -342.4208
T_0071           21        -344.8005       -35.0783
T_0071           22         192.8938       103.2063
T_0071           23         140.9336       254.1419
T_0071           24         -57.0478       -53.9377
T_0071           25        -609.6318       145.5592
T_0071           26       -1876.6074      -672.4864
T_0071           27        -479.0543        68.8221
T_0071           28       -1513.4668      -705.5977
T_0071           29         504.3166       264.8149
T_0071           30         -65.1277        46.0158
T_0071           31       -1271.4367      -361.5667
T_0071           32       -1673.7054      -762.3067
T_0071           33         359.7724       412.1262
T_0071           34        -441.5493       176.5287
T_0071           35       -2746.7115      -989.9245
T_0071           36        -539.3394      -299.8315
T_0071           37        -153.8959      -278.2432
T_0071           38       -1036.6405      -408.2002
T_0071           39         473.6582       325.5981
T_0071           40        -850.5454      -132.8481
T_0071           41         336.2809       205.1885
T_0071           42       -1017.7637      -281.7924
T_0071           43        -205.0521       -36.1474
T_0071           44        -153.6055       168.6033
T_0071           45         326.3028       557.8672
T_0071           46       -1026.4586      -390.4003
T_0071           47          42.7514       202.6929
T_0071           48        -332.6308      -233.0553
T_0071           49        -180.9632        57.5944
T_0071           50        -293.1159      -178.3837
T_0071           51         111.8657        67.8995
T_0071           52        -122.5492      -116.5269
T_0071           53        -611.2900      -166.1885
T_0071           54        -363.6509        76.8402
T_0071           55        -555.9099       -53.0556
T_0071           56        -602.7616      -439.6430
T_0071           57        -407.1005      -345.8786
T_0071           58          28.5808       -41.2605
T_0071           59        -126.0726       -46.5400
T_0071           60        -487.4365       -69.4226
T_0071           61          50.3357      -158.7831
T_0071           62         -11.5436        31.9395
T_0071           63          16.6209       168.0673
T_0071           64         301.2517      -114.9386
T_0071           65         230.0772       228.8466
T_0071           66        -326.6624        78.5486
T_0071           67        -368.9724      -342.7910
T_0071           68        -209.3086        48.1065
T_0071           69        -837.8951        -1.6593
T_0071           70         460.3688       262.4095
T_0071           71        -871.4589      -544.2314
T_0071           72        -651.5386      -196.0196
T_0071           73        -532.2138      -312.9691
T_0071           74        -145.0547       -12.6008
T_0071           75        -490.3695       -83.9104
T_0071           76        -484.4021      -259.7703
T_0071           77          99.0291       -23.8408
T_0071           78        -617.1990      -329.7887
T_0071           79         -52.1193       -55.4759
T_0071           80        -172.4608       -55.7277
