Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0179            1         100.7513       467.5270
T_0179            2         153.5862       495.9717
T_0179            3        1578.7228      2225.1106
T_0179            4          82.6424       512.0307
T_0179            5         256.1846       580.8107
T_0179            6         -36.9696        -7.8243
T_0179            7          86.2074       272.0810
T_0179            8          51.8259       -31.7787
T_0179            9         570.6821      1295.0006
T_0179           10          98.0118       113.4684
T_0179           11         743.5691      2058.4369
T_0179           12        1685.0259      3050.1220
T_0179           13        -548.7585      -680.7561
T_0179           14          33.5043       631.2979
T_0179           15        2056.7381      2378.5662
T_0179           16         454.4545       749.2119
T_0179           17         553.1963      1235.0673
T_0179           18         186.5763       605.7139
T_0179           19        -296.3699       477.0526
T_0179           20        1413.5102      2072.7311
T_0179           21         527.1760      1111.5313
T_0179           22        1091.9393      1322.4049
T_0179           23         213.3944       498.9017
T_0179           24         602.2734      1171.7130
T_0179           25         451.5912       904.2495
T_0179           26         641.1074      1620.3623
T_0179           27        -206.0262      -694.5049
T_0179           28         -65.2894       -61.8146
T_0179           29         501.2543      1317.3531
T_0179           30         722.8717      1364.7835
T_0179           31         422.0174       775.2578
T_0179           32        1584.9404      1763.0064
T_0179           33         161.8515      1724.5527
T_0179           34       -1378.1180     -1130.2393
T_0179           35         -11.7194        96.0251
T_0179           36         692.2292       609.0700
T_0179           37        1882.6593      3449.9682
T_0179           38       -2883.2490     -2909.6989
T_0179           39        1614.4828      2286.5212
T_0179           40      -11867.4707     -3777.7596
T_0179           41         -18.8309       220.7849
T_0179           42         168.4518       106.0455
T_0179           43        1571.0018      1877.4370
T_0179           44         166.5563       354.9498
T_0179           45         938.1557      1661.9348
T_0179           46        -335.4037       -69.9370
T_0179           47        1567.4978      2680.1347
T_0179           48         808.6083      1334.0509
T_0179           49         343.4694       617.5359
T_0179           50         587.0546      1267.9456
T_0179           51       -5895.5549     -2180.7865
T_0179           52        -506.8958       138.4051
T_0179           53          28.9263       -11.4155
T_0179           54          86.4340       947.6054
T_0179           55         -29.5097      -101.5663
T_0179           56         645.3910       749.4809
T_0179           57        -208.2753        84.1578
T_0179           58         -15.9115        34.9350
T_0179           59         484.7693       657.5445
T_0179           60         220.2777       337.2957
T_0179           61         858.6659       841.9191
T_0179           62        -311.3249       274.1026
T_0179           63         467.3798       304.0987
T_0179           64         360.5557        92.4446
T_0179           65         459.3372       122.2062
T_0179           66        2200.8599      1954.4004
T_0179           67         674.4442      1382.4805
T_0179           68        1037.6187      1709.3416
T_0179           69         202.6245       360.8252
T_0179           70         286.0521       650.3925
T_0179           71        1016.9848      1078.2777
T_0179           72       -1475.5889     -1726.3088
T_0179           73         963.7533       594.7627
T_0179           74        -101.5375       -37.4983
T_0179           75        1338.8499      1964.8094
T_0179           76        2232.6094      3026.4277
T_0179           77          70.0188       675.6345
T_0179           78         544.5106       945.0050
T_0179           79        1076.7030       756.5285
T_0179           80         717.6073      1331.6602
