Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0037            1         128.6508       119.3582
T_0037            2          13.8919        51.1559
T_0037            3          21.7016        52.8369
T_0037            4         -11.7497        84.0406
T_0037            5         -11.7114        90.5559
T_0037            6          21.5408       -14.2396
T_0037            7         -12.4268        21.7149
T_0037            8         182.5232        95.5993
T_0037            9         -79.0065        98.6871
T_0037           10         -32.3028       -51.7891
T_0037           11         178.8724       341.5618
T_0037           12          72.1012       100.9321
T_0037           13         -67.6522         5.5065
T_0037           14         135.4236       -35.3858
T_0037           15         333.6882       168.2109
T_0037           16         -53.4300       106.3706
T_0037           17        -115.3347       121.8069
T_0037           18          -2.3732        22.8757
T_0037           19          85.8648       179.8131
T_0037           20        -146.7058       -42.5778
T_0037           21          65.9606        13.0388
T_0037           22         -11.9616       234.7595
T_0037           23         113.2121        97.6156
T_0037           24          72.2877        88.6533
T_0037           25        -123.3864       203.6690
T_0037           26        -350.7311      -138.5716
T_0037           27        -242.9149      -121.8298
T_0037           28         543.8582       468.3250
T_0037           29          99.2865       236.5256
T_0037           30         351.2931       157.1153
T_0037           31         106.2963       149.8673
T_0037           32        -396.2381      -126.8711
T_0037           33          38.0221        88.7970
T_0037           34        -385.2159       126.9517
T_0037           35        -704.2516      -321.2611
T_0037           36         675.8924       354.8081
T_0037           37         262.4891       202.1169
T_0037           38       -1363.4258      -460.5540
T_0037           39         104.0077       124.4416
T_0037           40        -100.8349      -378.0062
T_0037           41         -54.2925        18.1128
T_0037           42          20.5151        20.9532
T_0037           43         -10.8486        97.8233
T_0037           44         -30.7179        15.2734
T_0037           45           0.3962        21.3162
T_0037           46         -40.5547        29.7600
T_0037           47          19.0722         5.1494
T_0037           48         -11.0069        39.9969
T_0037           49          -3.3239        36.3979
T_0037           50           7.5323       -10.7640
T_0037           51          73.5845        27.2298
T_0037           52         -11.3163        31.5473
T_0037           53          -1.3967         7.7853
T_0037           54          40.8455         2.1447
T_0037           55         -14.7135        31.0110
T_0037           56          78.3153        -5.9870
T_0037           57         -38.5256       -63.9443
T_0037           58         -21.7988       -14.2022
T_0037           59         -56.7002       -97.1859
T_0037           60          19.5524       -15.8504
T_0037           61          28.0141       -14.8725
T_0037           62         380.8276       365.9519
T_0037           63         221.4436       306.5588
T_0037           64        -414.4055      -515.5615
T_0037           65          42.4454        21.3442
T_0037           66          63.5838       119.0458
T_0037           67        -123.9242      -122.0498
T_0037           68          51.5642       140.4110
T_0037           69         248.8059       115.5678
T_0037           70          49.0852        -6.2984
T_0037           71         253.7862       134.4833
T_0037           72         -57.9851        12.4883
T_0037           73         797.4057       424.8797
T_0037           74         452.3491       293.1254
T_0037           75         729.6482       700.1889
T_0037           76          61.2447       117.4155
T_0037           77         358.4939       326.0101
T_0037           78        -208.0772       -77.6472
T_0037           79           6.9731        11.8616
T_0037           80         249.6973       275.9036
