Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0153            1         114.3012         5.6533
T_0153            2         163.1327      -169.9505
T_0153            3          52.6010        10.1967
T_0153            4         -17.4272       -53.6031
T_0153            5          18.8499        -5.9211
T_0153            6         -67.8363       -27.0271
T_0153            7          92.9662       -33.4407
T_0153            8         592.5555        83.7659
T_0153            9           5.8429        33.1968
T_0153           10         230.9949       -60.2787
T_0153           11         113.9392      -127.1411
T_0153           12        -295.0592      -480.7532
T_0153           13          16.0565        24.5616
T_0153           14        -250.7300       -16.3959
T_0153           15         -39.1590       -59.4831
T_0153           16         750.4814      1409.9829
T_0153           17         -34.1449       -51.9054
T_0153           18         -49.0425      -192.8939
T_0153           19         -37.0524      -496.2214
T_0153           20           3.3923      -101.6040
T_0153           21         -63.5039       -79.1140
T_0153           22         -21.5643       -51.1424
T_0153           23          74.1210       -10.2317
T_0153           24        -139.2653       -70.9393
T_0153           25         -50.2034       -43.5956
T_0153           26        -253.1171      -435.9365
T_0153           27         -42.4815       -26.8074
T_0153           28        -141.8993      -207.0681
T_0153           29         297.8269        51.0195
T_0153           30          -7.2811      -155.9779
T_0153           31         -73.6217      -176.1497
T_0153           32         -65.5995        46.7826
T_0153           33          50.7389        37.7888
T_0153           34         -86.2287       -85.1435
T_0153           35        1018.3537        54.2716
T_0153           36         167.4115       -35.2742
T_0153           37         325.6111       -13.3523
T_0153           38       -1068.1589      -830.7751
T_0153           39        -454.3663      -228.1405
T_0153           40        -747.5696     -3324.9677
T_0153           41         142.4256        78.1140
T_0153           42         301.3609       -26.7472
T_0153           43         152.5333        37.8908
T_0153           44       -1989.4950     -2742.2842
T_0153           45          44.3739        31.2360
T_0153           46          -6.5505       -87.6654
T_0153           47         338.5144       -59.6741
T_0153           48         -44.4367      -341.0421
T_0153           49          58.8785       -98.5727
T_0153           50         990.4461        79.0688
T_0153           51        -723.1300     -1209.6768
T_0153           52        -117.9161      -555.8755
T_0153           53         -83.0251      -137.9640
T_0153           54        -207.7629       -96.9026
T_0153           55        -783.1683     -1007.2880
T_0153           56         -79.5383       -46.1882
T_0153           57        -122.7509        20.1137
T_0153           58         685.6867       239.0156
T_0153           59         -28.1572       -70.1549
T_0153           60         -23.9956       -94.4100
T_0153           61         -28.3361       -65.5620
T_0153           62         106.7699       -86.8982
T_0153           63        -113.2566      -182.1680
T_0153           64         126.0841        52.3869
T_0153           65          -6.3353       -67.4636
T_0153           66        -423.9827      -150.3651
T_0153           67          19.6446        30.7133
T_0153           68       -1752.8002     -2210.6650
T_0153           69        1094.9015      1769.8363
T_0153           70         -35.5717       -58.4637
T_0153           71         -59.8203       -65.1477
T_0153           72       -2176.4724     -3484.8977
T_0153           73         788.7893      1160.0047
T_0153           74         655.8627       924.6938
T_0153           75        -624.5172      -988.7409
T_0153           76       -1589.0948     -2008.2900
T_0153           77        -312.0943      -188.6165
T_0153           78         332.6921       447.4534
T_0153           79          55.6339         6.8699
T_0153           80          -6.0757      -121.4937
