Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0048            1         313.6315      1176.3175
T_0048            2         287.3950       735.8102
T_0048            3         374.8988      2697.2494
T_0048            4          31.7265       578.4880
T_0048            5         229.5453      1406.9896
T_0048            6        -261.4342      -881.4640
T_0048            7        -167.2968       217.6359
T_0048            8          93.5431       776.2762
T_0048            9        -115.0339       195.5894
T_0048           10        -188.4444       -92.2483
T_0048           11         233.9316      1053.2457
T_0048           12         646.3677       924.8701
T_0048           13         -29.4097       475.1023
T_0048           14        -199.2165       466.2199
T_0048           15         256.8306      2942.2063
T_0048           16         218.6537        66.8683
T_0048           17        -271.0208       193.5581
T_0048           18       -2106.4018       356.8540
T_0048           19        -562.7432      -458.8570
T_0048           20          84.7618       -48.8029
T_0048           21         -73.9010      -599.9081
T_0048           22         766.4139      1235.8431
T_0048           23         244.7707      1116.9561
T_0048           24         279.0222      1267.6182
T_0048           25        -184.4274        14.6975
T_0048           26         205.4805      1078.6377
T_0048           27        -625.9398     -1786.9643
T_0048           28         737.6619      2761.6905
T_0048           29        -109.7371      -598.9184
T_0048           30         373.2129      1382.5413
T_0048           31        -660.9985     -1957.0267
T_0048           32          91.0376       474.6834
T_0048           33        -366.6991       421.5614
T_0048           34        -237.6824      -206.8366
T_0048           35        -348.7803      -184.5547
T_0048           36        -421.6308     -1032.7459
T_0048           37         294.0960       695.0248
T_0048           38          -4.6870      -153.6932
T_0048           39         319.4085       447.2603
T_0048           40        1747.2486      5749.4634
T_0048           41         -73.4986       543.7443
T_0048           42         250.6539      1454.7415
T_0048           43          92.5223       636.4781
T_0048           44        -317.2793      -173.5827
T_0048           45         -60.1761      -216.8122
T_0048           46         414.1140      1135.7876
T_0048           47          -2.8525       907.7744
T_0048           48        -204.1016       652.8279
T_0048           49        1090.5069      2502.8672
T_0048           50        -217.2245      -125.0392
T_0048           51        -311.2722       796.0765
T_0048           52         449.1463       776.5672
T_0048           53         467.9182      1281.1809
T_0048           54          80.1741       283.2815
T_0048           55         139.6739       172.4285
T_0048           56          32.6226       -41.1788
T_0048           57         267.5710       458.8457
T_0048           58         545.9260      1047.5748
T_0048           59         124.6473       384.2396
T_0048           60          -1.2661      -474.0216
T_0048           61         163.7535       658.4580
T_0048           62        -517.0070      -717.3388
T_0048           63         -79.6336      -146.9507
T_0048           64        -170.1310     -1025.6147
T_0048           65        -190.5347       524.0916
T_0048           66          34.2241       746.5560
T_0048           67         -54.7147       515.8401
T_0048           68        -196.4384      -123.4194
T_0048           69          -5.8909       516.9975
T_0048           70          39.4837      1535.4283
T_0048           71         458.1690      1193.2144
T_0048           72         137.0231       763.7859
T_0048           73        1034.4254      2144.1032
T_0048           74        -122.9731       329.8595
T_0048           75        -402.1765      -657.7189
T_0048           76         536.0832       641.0417
T_0048           77        -794.3929      -345.3530
T_0048           78         260.1833       324.6438
T_0048           79          23.8622       619.4973
T_0048           80         833.9200      1031.8139
