Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0028            1        -310.2518     -1828.9796
T_0028            2          27.7135       143.9546
T_0028            3         -48.8531       269.6270
T_0028            4         348.6528       119.4146
T_0028            5          54.9880      -610.6244
T_0028            6        -714.5274      -701.1554
T_0028            7         209.9548      -774.6298
T_0028            8         322.3204      -388.9070
T_0028            9         266.6480      -418.2996
T_0028           10        -169.5907      -452.9655
T_0028           11         832.1764        10.7399
T_0028           12        -202.1815       116.7102
T_0028           13       -2791.2241     -1047.3153
T_0028           14         -17.8651      -339.4406
T_0028           15         537.9662      -463.5392
T_0028           16         418.3715       -55.1618
T_0028           17        3460.2788      1751.4063
T_0028           18         851.4283      -586.1994
T_0028           19       -2689.4854     -1193.7624
T_0028           20         930.2024        31.1189
T_0028           21        1915.5378      -335.3308
T_0028           22       -2557.0285      -868.6533
T_0028           23        3062.3243      2489.7885
T_0028           24         760.8734      1270.7815
T_0028           25        -247.3458      -530.3738
T_0028           26        -498.6222       555.2744
T_0028           27       -2858.3343     -2358.0001
T_0028           28        2984.8671      1216.4729
T_0028           29        -869.1639      -847.4067
T_0028           30        2937.8564      1929.1235
T_0028           31        -900.5704       409.5186
T_0028           32        -502.3631     -1129.3356
T_0028           33         798.7831      -571.9127
T_0028           34       -4548.8927     -2880.5648
T_0028           35         762.9797      1643.9487
T_0028           36        1209.2093      1137.6443
T_0028           37         875.4102      -345.0363
T_0028           38        -470.4815      -141.9028
T_0028           39        2463.3461      1427.4070
T_0028           40        -644.6049      -654.6541
T_0028           41         456.9805       884.1457
T_0028           42        -950.7394      -535.9772
T_0028           43          24.8900        75.8793
T_0028           44        -169.0535      -157.1354
T_0028           45        -324.2378       -26.8557
T_0028           46        -329.2817       -63.1451
T_0028           47        3236.7193      2111.9123
T_0028           48         138.4372       110.6858
T_0028           49         495.3675      -389.7200
T_0028           50         985.6322       331.0886
T_0028           51         530.7120      -777.0692
T_0028           52         637.5717      -536.8523
T_0028           53        -152.1895       347.8238
T_0028           54        -194.5429      -174.7727
T_0028           55          81.2368       472.6075
T_0028           56        -278.3552        -4.7952
T_0028           57        -334.9927       287.0301
T_0028           58        -269.3736      -300.6341
T_0028           59       -1670.6864     -1390.3813
T_0028           60         511.0303      1174.5415
T_0028           61         703.8117      1806.0420
T_0028           62         177.2460       440.9638
T_0028           63        -314.9505      -292.8316
T_0028           64        2625.6787     -1146.0026
T_0028           65        -764.2247       -89.9434
T_0028           66        1773.0605      3080.8220
T_0028           67        -833.1843     -3101.1769
T_0028           68         177.7611       467.7130
T_0028           69         420.2222      -198.8561
T_0028           70          57.5451      -685.0572
T_0028           71        3143.2207      2831.3483
T_0028           72         103.8901      -140.1244
T_0028           73        1481.0115      1720.2519
T_0028           74         980.9273      1127.3331
T_0028           75         986.0662      -737.9937
T_0028           76       -2564.9767      -374.0396
T_0028           77       -1823.2575     -1645.8138
T_0028           78        -328.5113     -1377.4559
T_0028           79          17.6131      -423.4687
T_0028           80         -57.5272      -255.7201
