Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0136            1         996.5766       336.1303
T_0136            2         112.8696      -196.1180
T_0136            3        1858.5824       746.1147
T_0136            4         489.5044       -43.7144
T_0136            5         778.8813        64.7414
T_0136            6         -38.9209       179.6473
T_0136            7         412.8759       494.6212
T_0136            8        -349.6091      -384.0357
T_0136            9         577.3027       901.2950
T_0136           10          31.9076        19.5533
T_0136           11        -199.3933      -260.1716
T_0136           12        1423.8784       415.5606
T_0136           13        -444.6882      -296.6548
T_0136           14         531.8819       -33.9174
T_0136           15        1189.7623       417.7416
T_0136           16         321.3382       120.6550
T_0136           17        1166.1106       817.1738
T_0136           18        1267.4213       555.1150
T_0136           19         809.5194       645.6502
T_0136           20         630.2067       862.4424
T_0136           21         787.6483       598.0651
T_0136           22         597.3868       133.6446
T_0136           23         624.3911       562.6302
T_0136           24         388.9221       -10.7479
T_0136           25        -223.6530      -127.4849
T_0136           26         279.7531      -171.1247
T_0136           27        1127.2786       570.5044
T_0136           28         274.3382       111.6308
T_0136           29         119.4414       173.8452
T_0136           30         664.5260       660.8066
T_0136           31         318.1926       -32.3891
T_0136           32         231.1830       160.5298
T_0136           33        1346.4708       953.5570
T_0136           34         204.7282       172.3545
T_0136           35         487.1413      1031.1827
T_0136           36         552.1051       157.1566
T_0136           37        1144.7615       452.5226
T_0136           38         216.8062       -18.5440
T_0136           39        -524.5261      -493.2710
T_0136           40         906.9158       677.8257
T_0136           41        -197.4230       219.8414
T_0136           42         127.7131       -28.1780
T_0136           43         739.8997       882.1793
T_0136           44         184.9688       -63.3308
T_0136           45         338.6366       728.3251
T_0136           46         318.8714       114.0232
T_0136           47          16.3535         7.2965
T_0136           48         705.0726       455.4519
T_0136           49         191.2983         4.1351
T_0136           50           9.6527      -298.1879
T_0136           51         642.4919       299.3031
T_0136           52        1348.2328       798.8103
T_0136           53         326.2137       554.8542
T_0136           54         503.3722       425.1779
T_0136           55        -419.5534      -291.6242
T_0136           56         621.2200       189.5819
T_0136           57         555.2573       316.0476
T_0136           58         -15.1456       285.4049
T_0136           59         421.4443       504.3542
T_0136           60         342.2955       126.8521
T_0136           61          13.6611      -150.8863
T_0136           62         -45.2996       -16.2831
T_0136           63         145.8579      -129.7017
T_0136           64        -778.7681       -71.0048
T_0136           65        -214.8968         0.1071
T_0136           66         523.0915       -88.3202
T_0136           67         313.8890      -326.2060
T_0136           68        1159.5392       123.1486
T_0136           69        -481.3454      -652.3397
T_0136           70         393.1339       407.1036
T_0136           71        1012.7281      1072.8702
T_0136           72        -338.7281      -263.3997
T_0136           73         536.8931       365.2290
T_0136           74        -803.6430      -346.6043
T_0136           75        1246.1958       273.7307
T_0136           76        -534.6347      -404.0463
T_0136           77        -308.9353      -664.4387
T_0136           78        -316.4769       170.0448
T_0136           79        -217.5294      -390.6382
T_0136           80        1042.0764       539.8809
