Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
T_0004            1         533.1870       200.8121
T_0004            2        -769.4696      -321.1434
T_0004            3         381.3902       178.6774
T_0004            4        -329.3418        98.6839
T_0004            5         234.4208       110.2672
T_0004            6         -72.5225      -104.0805
T_0004            7         228.1667       275.6017
T_0004            8         788.3634       426.9759
T_0004            9           1.5396       243.7120
T_0004           10        -636.5939      -377.9568
T_0004           11        1552.9804       833.9511
T_0004           12         204.5756       162.3353
T_0004           13        1260.1144       140.3727
T_0004           14        -201.9966      -193.2488
T_0004           15        -161.9511      -232.1434
T_0004           16        2160.3082       225.2164
T_0004           17        -165.0640       -77.9412
T_0004           18        -158.0501      -343.9557
T_0004           19        -726.7193      -344.8095
T_0004           20         574.9227       433.2375
T_0004           21         177.2859        61.9282
T_0004           22          23.5249       -60.5960
T_0004           23          25.2080       229.2997
T_0004           24         159.9075       103.4869
T_0004           25        -883.4136      -861.9733
T_0004           26         137.5714       111.8806
T_0004           27        -460.6893      -438.2106
T_0004           28        -328.2840      -410.7474
T_0004           29        1457.2433       642.9644
T_0004           30         295.8512        24.0236
T_0004           31         417.4964       362.9306
T_0004           32         505.4072        94.1196
T_0004           33        2421.4897       -95.2241
T_0004           34       -2580.9324     -1194.6799
T_0004           35         548.3878       531.7273
T_0004           36        -314.8072      -497.8078
T_0004           37         248.8629       -30.2575
T_0004           38        1692.2842       544.7234
T_0004           39         945.4327       303.0096
T_0004           40        1520.3639       416.7368
T_0004           41         614.9921       -35.1478
T_0004           42          94.7679       -20.1944
T_0004           43        1373.2117       169.4377
T_0004           44         272.0604      -372.0082
T_0004           45        1274.8478       406.5435
T_0004           46         -41.6002      -568.5547
T_0004           47        3596.4138       478.7124
T_0004           48         903.6553       251.5489
T_0004           49        1237.0768       452.1578
T_0004           50        1798.9643       611.3882
T_0004           51         869.2510      -276.1914
T_0004           52         585.3171      -182.0083
T_0004           53        -187.4671        48.2655
T_0004           54        -452.4051      -474.6285
T_0004           55         123.0431       -49.4915
T_0004           56         496.7241       203.7747
T_0004           57         686.9027       170.3850
T_0004           58       -1164.0678      -622.9213
T_0004           59        2089.0844       505.4215
T_0004           60         328.0513        45.4203
T_0004           61         618.4552      -117.4317
T_0004           62        -118.3927       -53.0877
T_0004           63        1636.2693       733.4067
T_0004           64         495.0901       191.2570
T_0004           65        -204.3073      -432.9443
T_0004           66         674.7831       272.3676
T_0004           67         217.1640        35.7425
T_0004           68        1015.1866       373.0222
T_0004           69       -1185.4104      -638.3989
T_0004           70        2047.9636       905.8934
T_0004           71        1697.7518       526.7234
T_0004           72         309.7844       397.4206
T_0004           73         257.1835       -21.8046
T_0004           74        -826.5778      -182.8997
T_0004           75        2176.1242       869.3699
T_0004           76        1908.8878       724.0521
T_0004           77        -116.4982       -19.1263
T_0004           78        1347.0165       675.8673
T_0004           79         542.7059       159.3077
T_0004           80        1482.0721       296.6983
