Filename       Segment   T0T7000Corr_r-ASNN T0T7000Corr_l-ASNN
P_0002            1       -1569.0808      -555.5916
P_0002            2        2644.0168      1577.5335
P_0002            3       -2931.4605     -1910.0342
P_0002            4         229.6831       144.4273
P_0002            5        3478.3351      1383.2501
P_0002            6        -109.0656       -40.8612
P_0002            7         103.3383      -400.5244
P_0002            8         995.3157       -81.4512
P_0002            9        2197.9819       677.2637
P_0002           10        1106.5139        61.1354
P_0002           11       -3693.9638     -1642.3530
P_0002           12        1864.5325       236.7761
P_0002           13         470.6710      -187.1257
P_0002           14         756.0459       547.9714
P_0002           15        -220.2923       115.5943
P_0002           16         807.2553       388.7402
P_0002           17        1205.1705       676.9273
P_0002           18        1275.6979       242.7175
P_0002           19        2666.2462      1147.0381
P_0002           20        4236.7838      1682.1654
P_0002           21        -156.4796      -328.6845
P_0002           22         445.8280       -31.4895
P_0002           23         710.8502       234.5076
P_0002           24         725.7608       114.9680
P_0002           25         540.5936       107.4073
P_0002           26         389.2192       107.0070
P_0002           27         671.9565       218.3603
P_0002           28         -85.3552       -93.8933
P_0002           29        1050.9608       235.2355
P_0002           30        1980.4629      1341.2880
P_0002           31         776.8627       167.6444
P_0002           32         482.1176      -376.0174
P_0002           33         869.3710       294.4679
P_0002           34        1203.7533       173.8559
P_0002           35         590.7715       260.1878
P_0002           36         331.1890       367.9811
P_0002           37         401.0445        -9.2181
P_0002           38       -2491.8420     -1466.0101
P_0002           39        2152.3575       903.2585
P_0002           40          19.9112       -85.9179
P_0002           41        -693.7507      -549.9878
P_0002           42         -27.1545      -272.8546
P_0002           43         141.5976       281.4336
P_0002           44         546.2588      -253.1413
P_0002           45        1885.5191       311.2360
P_0002           46        1330.5351       379.2201
P_0002           47        1555.0030       215.4260
P_0002           48         380.5695      -185.3414
P_0002           49         636.1655       465.2520
P_0002           50         821.5360      -149.5231
P_0002           51         363.5132       189.9544
P_0002           52       -4128.3609     -2471.0203
P_0002           53         611.4676       -32.8972
P_0002           54        -513.1864      -516.4866
P_0002           55        1501.0703       218.8418
P_0002           56         279.9113        37.4727
P_0002           57         441.4471       -77.4879
